κ(m₀ω₀²)|α↓|ω→	0.1 ω₀	0.2 ω₀	0.3 ω₀	0.4 ω₀	0.5 ω₀	0.6 ω₀	0.7 ω₀	0.8 ω₀	0.9 ω₀	1.0 ω₀	1.1 ω₀	1.2 ω₀	1.3 ω₀	1.4 ω₀	1.5 ω₀	1.6 ω₀	1.7 ω₀	1.8 ω₀	1.9 ω₀	2.0 ω₀
1.6	0.43255341162586103	0.526166145340885	0.7635479070389929	1.0330698884463492	1.3145360581076675	1.5999376581555318	1.8849898994444896	2.1671587975113606	2.4448937456402176	2.71724498036128	2.9836471729872045	3.2437878958448634	3.497523954333751	3.7448264592175047	3.9857439176567393	4.220376988365253	4.448860978109483	4.671353580727871	4.888026226142559	5.0990579501581585
1.7	0.5673560288986887	0.6109366131748967	0.8521330782844322	1.1365440115967549	1.4355345727719786	1.739155302266008	2.0424419100173994	2.3425698209188854	2.637853882018357	2.9272827453975614	3.2102668610676828	3.486489740889371	3.7558152727906826	4.018227792625222	4.273792293292658	4.5226274764362255	4.7648872280331815	5.00074774413825	5.230398515738122	5.4540359891728585
1.8	0.7362822703494215	0.7158643172839647	0.952333326366201	1.2491880663522896	1.5646706181902028	1.8859453070137766	2.2070945926710848	2.5249020413714782	2.837504392002434	3.1438080285254326	3.443188662628443	3.7353201234896014	4.020070256703857	4.2974348279925	4.567494251181621	4.830384616349832	5.086277968172626	5.335368718978469	5.5778642124709705	5.813978141779877
1.9	0.9425553218594536	0.8475624030586787	1.0670249696574217	1.3726387762516823	1.7030703272570573	2.041161849328187	2.3796322030568056	2.7147222756253577	3.044325346139154	3.367233834760756	3.682772020906663	3.990594673757891	4.29056803964699	4.5826958620644795	4.867071735153248	5.143847620297823	5.413212649919009	5.675378664958997	5.930570259046988	6.1790178932191075
2.0	1.1894047435671364	1.0136742272177208	1.1999447246393795	1.5089226255472912	1.8520729585500448	2.2057916311928683	2.5608282661208075	2.9126607020148336	3.2588434442428293	3.598008396201127	3.9294035224507144	4.2526502585467405	4.567604573092679	4.87427264052832	5.1727575294597905	5.463224495084425	5.7458778973626465	6.020945616766296	6.288668426591087	6.5492927073724125
2.1	1.4797255950429853	1.2218110386842216	1.3558823297598948	1.6605539905412305	2.0132762422110626	2.3809772867924766	2.751558770894784	3.1194187727317226	3.4816369700585037	3.8366183708152723	4.183499006640494	4.521846392217607	4.851493577225905	5.172440999967069	5.484795690149431	5.788732328285681	6.084467692526209	6.372243598830906	6.652315380158475	6.924944057925636
2.2	1.815537846499577	1.4782323047648918	1.5407956955840532	1.8306469301028925	2.188589479598054	2.5680443220473776	2.9528170089414214	3.3357779126265927	3.71334112443248	4.083592217692729	4.445505749154821	4.798566669019325	5.14256748711233	5.47749149273149	5.803441954281817	6.1205975510772905	6.429183538086679	6.729452719348986	7.021672725634424	7.306117443123208
2.3	2.197467971168468	1.786969285289871	1.761699617683407	2.0230274960534342	2.380293067266826	2.768531337720481	3.1657299403144994	3.562608920677451	3.954653672538396	4.3395036996984055	4.715904682509432	5.083220189538107	5.441178373698911	5.789729979424173	6.128964115557656	6.45905616916151	6.780234591138443	7.092759238694649	7.3969070343445225	7.692962381316139
2.4	2.6244853604837775	2.1495927038522975	2.026131015032682	2.2423149331685535	2.5911000604041887	2.984222533145992	3.3915757098504455	3.800881877628479	4.206340785013895	4.604975434468896	4.995212599658743	5.376242943503316	5.747698812903944	6.109478169807881	6.461642352450022	6.8043539516340825	7.137837760524752	7.462355606684547	7.778189841251624	8.085632384216646
2.5	3.0940264314020376	2.565303997258788	2.341076537558067	2.493910414123319	2.8242098101445166	3.2171801545320613	3.6318015060152993	4.051676190525701	4.469242872787735	4.880682373823641	5.283984264384175	5.678099098506579	6.0625226685112885	6.43707408835898	6.801769492087843	7.156746565831618	7.502217759107799	7.8384404624167185	8.165697612131154	8.484284904463443
2.6	3.6024456580449833	3.0311820535383918	2.7115465570701724	2.783796313505042	3.083334522279902	3.4697723498614392	3.8880402779812826	4.316190149038252	4.7442801032158055	5.167355037173542	5.582814323701324	5.989282128479566	6.38606574558087	6.7728724353674306	7.1496511899185045	7.516499644221398	7.873607101119138	8.22121858963049	8.559611674635695	8.889081253788728
2.7	4.145590618743381	3.5426770543522577	3.1393491078276092	3.11803328140266	3.3726664661069137	3.744688515130032	4.162123815187208	4.595749003185794	5.03245713250666	5.465782253484191	5.89233888179579	6.310315696739834	6.718766260481033	7.117244808381236	7.505606001572433	7.883888767229001	8.25224603340495	8.610900819717209	8.960118107643298	9.30018648776391
2.8	4.71930161644354	4.09434168541007	3.6226720302044315	3.501901064386912	3.6967391334072017	4.044929530207515	4.456088270004836	4.89181007235016	5.334866388199209	5.776813076247455	6.213236551243903	6.641754185833815	7.061085061443439	7.4705797419532445	7.869965319417387	8.25919934358045	8.638382388006463	9.007703873681656	9.367407582798464	9.71776925280629
2.9	5.3197380487783406	4.680587308290916	4.1566843956884965	3.9388127353822133	4.0601292599261525	4.373754774870184	4.772166362531334	5.205962748892132	5.652688981447188	6.101357425476126	6.5462287452455215	6.984182740310545	7.413505519813422	7.83328251615412	8.243073142082155	8.642726367330411	9.032271342108785	9.411850133535921	9.78167515165703	10.142001590843789
3.0	5.943533272907006	5.2962447821826455	4.734802924310609	4.429385752486428	4.466967186410797	4.734563403930613	5.112758432765412	5.5399204887511555	5.987192026001775	6.440384881441206	6.892078915110324	7.338216659481104	7.776532997245808	8.205774676370979	8.625285640882673	9.034774028315153	9.434175070025251	9.82356733283321	10.203119971422321	10.573058696795892
3.1	6.587827704520426	5.936853487260716	5.350023843907543	4.971149731451001	4.920292101048844	5.13068835562556	5.480372771635444	5.895501080529533	6.339720810619341	6.794920913351223	7.251590372909733	7.704499946343675	8.150693778608453	8.588493198865965	9.016970482785581	9.435655150448502	9.84436227061074	10.243088155342454	10.63194496188605	11.011118623839522
3.2	7.250234077326122	6.598729292444904	5.995877943125741	5.559102168450744	5.421402701988903	5.565094720381921	5.877525457164911	6.274590872575947	6.711683964901591	7.166039687401287	7.625602275433601	8.083702788476039	8.536533345361384	8.98188922894811	9.418505865609648	9.845690430206378	10.263107552421193	10.670649730343312	11.068356385916273	11.456361931315053
3.3	7.928774161037637	7.278903937483757	6.666895627861694	6.186842372197982	5.9694483422735125	6.0400054107894645	6.306593136137158	6.67908861193756	7.1045295701711595	7.554852489936847	8.014983291743846	8.476517720487807	8.934613851297929	9.386426312208311	9.830279217951702	10.265207446068045	10.69069065817341	11.106493012641218	11.512563345717199	11.90897127010795
3.4	8.621809848426166	7.975012220950841	7.358697402323088	6.847750089881448	6.561474047488949	6.556523504478763	6.769620958117205	7.11082570002512	7.519710247669414	7.962490766441338	8.420622447230034	8.883654201123456	9.345510654106059	9.802578035139856	10.252685514388386	10.694539408821617	11.127395509751313	11.550862035394976	11.964777187146966	12.369130900456323
3.5	9.327979639865472	8.685172230194283	8.067882346278582	7.535810999024858	7.192939790251197	7.114360854230542	7.2681030656245715	7.571462673446775	7.958635810329069	8.390082877201326	8.843416652648836	9.305831338910334	9.76980775534203	10.230824990992936	10.68612515648864	11.134023622886968	11.573509055326578	12.004003024147156	12.425210804685195	12.837026137394103
3.6	10.046144560068294	9.407879119740494	8.791845622835092	8.245997985299528	7.858505619920834	7.711781172440397	7.80277183083837	8.062367006554755	8.422613313201113	8.838723981435493	9.284254513225648	9.743768528060496	10.208092012020092	10.671650991624858	11.13100137286526	11.583999630486765	12.029319901318487	12.466163361294774	12.89407784025752	13.312842719498414
3.7	10.775344006851952	10.141918580338325	9.528596221070135	8.974322291697252	8.552788372629474	8.345802118006175	8.373446139408275	8.584484513910196	8.912776429538225	9.30943905873572	9.743996199547697	10.198173822343605	10.660946009666631	11.125538458328684	11.587717097809861	12.044807014094145	12.495116714114994	12.937590391658699	13.371591770072609	13.796766097279443
3.8	11.514760520515765	10.88629939608793	10.276603225032428	9.71771233651918	9.270889517356993	9.01260114847755	8.978987160554016	9.138223893023522	9.430008938569438	9.803140005577838	10.223449474491888	10.6697299900413	11.12893953410933	11.592962946285814	12.056671298931333	12.51678283851908	12.971186379949897	13.418530061952888	13.857964875037275	14.288980638487978
3.9	12.263691994423791	11.640202081660824	11.034676197308821	10.473836037060828	10.008651236016952	9.707996731351852	9.617385918367667	9.72337802800821	9.974870267959359	10.320578977293268	10.72334242097249	11.159078366363394	11.612619651652578	12.07438679029335	12.538254740579784	13.000258722726572	13.457811916297004	13.90922538994617	14.353407092170327	14.789668748822972
4.0	13.021529852599794	12.402940172702204	11.80187617871576	11.24092805576512	10.762703352470234	10.427873524233807	10.28596769161954	10.33910307684169	10.547533553589219	10.862301531782544	11.24429398812617	11.666800852695339	12.11249950703595	12.570251905206199	13.032845192403801	13.495557543366933	13.955270134786478	14.409914763000529	14.858124746835932	15.299009908062597
4.1	13.787741921905482	13.173931139135794	12.577449402307645	12.017645604954446	11.530391213051248	11.168474668334367	10.98166302929954	10.983965716367074	11.147747341536826	11.42860437098161	11.786784110477386	12.193400695055862	12.629046074755394	13.08097183342867	13.540802121514458	14.002989787255053	14.463829064071234	14.920830070570158	15.372319168583317	15.81717962348022
4.2	14.56185893997923	13.952674487319427	13.360781640280722	12.802956802434743	12.309656268859827	11.926550074619756	11.701281963614115	11.656052928647963	11.774829870232695	12.019503153529364	12.351125746982566	12.739282981426204	13.162667245977609	13.60692320248112	14.062460942140868	14.522849588635296	14.983745151329352	15.442194681133655	15.89618519689489	16.344348304618357
4.3	15.343463887090493	14.738735191334	14.151362967890321	13.596057606644388	13.098911927311551	12.69939160368421	12.441740214743211	12.353123597377351	12.427699745579204	12.634715552539497	12.937441583409747	13.304736085205262	13.713698787970264	14.148436834486448	14.59812693725932	15.05541050864981	15.515260272992077	15.974221280880421	16.42990958723238	16.880680065974012
4.4	16.132183494492658	15.531731228519622	14.948763231101722	14.396311282086662	13.896934231359186	13.48479827670781	13.200212377966205	13.07277320583769	13.104939962532745	13.273663230331199	13.545648179998505	13.889915490525983	14.282391856304255	14.7057888300528	15.14806901024658	15.600921138173618	16.058598598573816	16.517109599120204	16.973669332323098	17.426331466971643
4.5	16.927681441183132	16.33132323611436	15.752613933713173	15.203204696397647	14.702773260875125	14.281008284653302	13.97421213049833	13.812584563122142	13.8048858083493	13.935493837401848	14.1754499069887	14.494831499515804	14.868901847008893	15.27919202232432	15.712513467793972	16.15960062977254	16.613963365550276	17.071044053609555	17.527629918537613	17.981450201601113
4.6	17.729652863571758	17.13720795741153	16.56259489706314	16.016316843635273	15.51568455967002	15.086622193755474	14.761614608462516	14.570246375960703	14.525723348238126	14.619121068282775	14.826344076362652	15.119342187859523	15.473279419082015	15.86878825172521	16.29163807361982	16.731634288162702	17.181533637345453	17.636191357421165	18.09194354234554	18.546173753272413
4.7	18.53781996667838	17.949111708316693	17.378424339732078	16.835296125261777	16.335077428572063	15.900530616546067	15.560640669537985	15.343632690604487	15.265584984475367	15.323278029749005	15.49763737256346	15.763152620461897	16.095464473577824	16.474641936110842	16.88556664064422	17.31716936887741	17.761461129582464	18.212698137149943	18.66674731689524	19.120628033625856
4.8	19.351928065656264	18.766785885779782	18.199851423064047	17.65984386923644	17.160476485090044	16.721852006334373	16.369820546880558	16.130845439208237	16.022631525554253	16.04657744621801	16.188472260491537	16.42582078826414	16.735283730743056	17.09673539412936	17.494364441737694	17.91631124930504	18.353867200651955	18.80068861959065	19.252161503540066	19.704926027102296
4.9	20.17174302016627	19.590003253307408	19.02665058800234	18.48970229065585	17.991493275478835	17.54988187361754	17.18794954929577	16.930227596213847	16.795114783346722	16.787571928140718	16.89786081777374	17.106770056458547	17.39245230501584	17.73496631498779	18.1180347111205	18.529120142232035	18.958840110029655	19.400262449861586	19.84828780724367	20.299166465859834
5.0	20.9970484218034	20.418554947132456	19.858617204256184	19.324645623900853	18.82780534709003	18.3840526081559	18.014043625445858	17.740356019997193	17.581419257943057	17.544808557321012	17.624722669193375	17.805307237796484	18.06657936270202	18.38914765536997	18.756516476793653	19.15560851725905	19.57643265035453	20.011492707643985	20.45520777791065	20.903432561919388
