E(ħω₀)|α↓|ω→	0.1 ω₀	0.2 ω₀	0.3 ω₀	0.4 ω₀	0.5 ω₀	0.6 ω₀	0.7 ω₀	0.8 ω₀	0.9 ω₀	1.0 ω₀	1.1 ω₀	1.2 ω₀	1.3 ω₀	1.4 ω₀	1.5 ω₀	1.6 ω₀	1.7 ω₀	1.8 ω₀	1.9 ω₀	2.0 ω₀
2.9	-2.7278835444308323	-2.7951967859146083	-2.8638152026062533	-2.931895268793949	-2.996534835163769	-3.0561805539635447	-3.110790780839417	-3.1608665830581675	-3.206985994991472	-3.2496718216082465	-3.2893676127100253	-3.326443227209099	-3.3612066837250145	-3.393915733968461	-3.424787594992183	-3.454006745094275	-3.4817310702996114	-3.508096697947633	-3.5332218107726243	-3.5572096751041236
3.0	-2.771625057306549	-2.8380476897582474	-2.905709700652345	-2.9732729047358837	-3.0382104710628868	-3.098714038000697	-3.1544209924931037	-3.2056664536508372	-3.252955662889221	-3.2967803864456053	-3.337571605172319	-3.375695031586629	-3.4114584638862038	-3.4451212523815236	-3.476903006710706	-3.5069908810816255	-3.5355454648789326	-3.5627054906228497	-3.5885915904312844	-3.6133093024576315
3.1	-2.816458022439374	-2.8820703734895567	-2.948824550363745	-3.0157570273109298	-3.0807639125271216	-3.1419361625267017	-3.198612382614922	-3.250941127401776	-3.2993387122472067	-3.3442564979342313	-3.3861075299676306	-3.4252501782533624	-3.4619900257312803	-3.496586720211633	-3.5292613815707696	-3.5602032209548957	-3.5895750839805984	-3.6175179770325188	-3.644154730601585	-3.669592960757548
3.2	-2.862324056469554	-2.9272000653524235	-2.9931074842570045	-3.059350804503897	-3.1242339449182763	-3.185884862856584	-3.243394282436225	-3.296712666008541	-3.346152007148525	-3.3921133533847474	-3.4349859462780863	-3.4751172783754662	-3.5128085053686586	-3.548318131264759	-3.5818678112965214	-3.6136481319162304	-3.643823704326354	-3.6725374465156655	-3.699914113857858	-3.72606318978207
3.3	-2.909168450688849	-2.973375022672535	-3.0385009161517464	-3.1040382745181305	-3.1686476286174	-3.2305950483235013	-3.288795775964515	-3.3430034825779056	-3.3934128103737597	-3.4403644806432694	-3.4842176663552205	-3.5253051319819098	-3.563921178678671	-3.60032158249472	-3.6347274635795914	-3.667330036919729	-3.69829514328071	-3.727767217698526	-3.7558726434825225	-3.782722543507592
3.4	-2.956940268738216	-3.020537326175448	-3.084946067536343	-3.149788751071384	-3.2140181255769216	-3.276096464577593	-3.3348447408448307	-3.389835932746569	-3.4411385926626736	-3.4890236385011058	-3.5338136978440553	-3.5758226915475393	-3.6153354366824564	-3.652603256428938	-3.687845569013174	-3.7212534046443304	-3.7529932509639394	-3.7832106321694257	-3.8120332383144024	-3.8395735858597058
3.5	-3.0055922652660527	-3.0686331723339997	-3.1323855706547143	-3.1965618936767526	-3.2603443724623706	-3.3224116375490045	-3.3815666961848803	-3.4372317864001336	-3.489346781001779	-3.538104685470967	-3.5837851687643965	-3.626679015499087	-3.6670587547437647	-3.7051693996500945	-3.7412274054092887	-3.775422737676582	-3.8079219011087857	-3.8388710472529306	-3.868398826939429	-3.896618885976655
3.6	-3.0550807025754194	-3.1176128592471075	-3.180764918322132	-3.244312208135881	-3.3076125785269515	-3.3695543144725084	-3.428983551235616	-3.4852115875631835	-3.5380544421680256	-3.5876214135852735	-3.634143233098201	-3.6778832104608807	-3.71909865492074	-3.7580262969327043	-3.7948782792588256	-3.829842558756287	-3.8630849805695022	-3.8947518278256585	-3.924972341187066	-3.9538610129617338
3.7	-3.1053651162136187	-3.1674306015386913	-3.2300331414058965	-3.292992430030983	-3.355798940745732	-3.4175287592855996	-3.477112409566552	-3.533793932092892	-3.5872779039147518	-3.6375873456525047	-3.6848989555080265	-3.7294443612709687	-3.771462660876613	-3.811180240678824	-3.848803504119054	-3.8845173949533116	-3.918486377401733	-3.9508563371228975	-3.9817567089005497	-4.011302530104635
3.8	-3.156408061488678	-3.2180442610797915	-3.2801430128551976	-3.3425557710638483	-3.4048727582007388	-3.466330044279892	-3.5259646180450286	-3.582994718832287	-3.637032325086147	-3.688015497262956	-3.7360631746962834	-3.781371448177404	-3.8241582449221765	-3.8646374953763596	-3.903008375755455	-3.9394517596681706	-3.974129967446761	-4.007187926494945	-4.038754845955643	-4.068945988556292
3.9	-3.208174860013295	-3.2694150459309803	-3.331050983218545	-3.3929572537227326	-3.4547992926532154	-3.5159452038692356	-3.5755452318797674	-3.6328264529688505	-3.6873312368648072	-3.7389181088038654	-3.787646346369893	-3.8336732512008225	-3.87719276701404	-3.9184042569236155	-3.9574981439274177	-3.9946501323841965	-4.030019599374661	-4.063749924085222	-4.095969647511182	-4.126793920447604
4.0	-3.2606333570104615	-3.3215072074188505	-3.382716977172743	-3.4441544063119887	-3.5055420403620836	-3.5663549184790995	-3.6258529898088696	-3.6832976909721604	-3.7381860883966818	-3.7903063575903517	-3.8396583687008046	-3.8863582424410894	-3.9305734058820887	-3.9724866068306617	-4.012277980793282	-4.050116936146452	-4.086159078168535	-4.120545622419195	-4.153403978485537	-4.184848831449541
4.1	-3.3137536948632267	-3.3742877512956584	-3.435104128371295	-3.496107547326413	-3.557064350643945	-3.6175353523598286	-3.676880782253231	-3.734412706551484	-3.789605838209569	-3.842190065332498	-3.8921083954710656	-3.93943446810377	-3.9843070829107075	-4.026890461524868	-4.067352946021397	-4.105856512803101	-4.142552147066826	-4.177578264914131	-4.2110606632662755	-4.243113192780724
4.2	-3.3675081051944065	-3.4277261705827273	-3.4881784965447125	-3.5487798240649786	-3.609330477301665	-3.6694598525813813	-3.7286164948145446	-3.7861714251920873	-3.8415966348193793	-3.894577420544267	-3.945004644531818	-3.9929094231778652	-4.038400379941697	-4.081621517253611	-4.1227279488305495	-4.161873096119162	-4.199202468023044	-4.234851031344922	-4.268942474675985	-4.3015894326786075
4.3	-3.421870719882106	-3.4817942028811073	-3.5419087904826685	-3.602137114247281	-3.6623061992471477	-3.722100348904017	-3.7810440567389723	-3.8385696290468942	-3.8941616234161955	-3.947474737933086	-3.9983542114214545	-4.046789922911062	-4.092859452776517	-4.136685191384306	-4.17840770734329	-4.218170782959717	-4.256113600791759	-4.292367022330589	-4.32705212223517	-4.36027992736177
4.4	-3.476817400362733	-3.536465612267377	-3.5962661086063825	-3.6561478583818463	-3.7159591409867163	-3.7754284097879665	-3.8341445274294	-3.8915993888951483	-3.9473009006991946	-4.000886276184789	-4.052162899515119	-4.101081976353413	-4.147689942785015	-4.192086561236046	-4.234396705814353	-4.2747535028379975	-4.313288980805841	-4.350129242939184	-4.385392239783523	-4.419186991523693
4.5	-3.5323255840263736	-3.5917159945066395	-3.651223702052505	-3.710782863271368	-3.770258896925349	-3.8294159818418168	-3.8878970962600015	-3.945249649437999	-4.001011619904593	-4.05481413134007	-4.106435078450341	-4.155790668087038	-4.202896889610953	-4.247830301914691	-4.290699150484921	-4.331624986229912	-4.370731896071057	-4.408140585545166	-4.443965372542918	-4.478312868412285
4.6	-3.5883741462687353	-3.647522603672951	-3.7067567614589185	-3.766015099728108	-3.8251770343555167	-3.884035871544321	-3.9422799255103325	-3.9995068849536004	-4.055288227963154	-4.1092582155300095	-4.161173581463256	-4.210920054632605	-4.258484648420746	-4.303920624933246	-4.347318924999717	-4.388788732165528	-4.428445463368257	-4.466403812111698	-4.502773963729208	-4.537659719564305
4.7	-3.6449432767017775	-3.703864198046616	-3.7628422266924995	-3.8218195069976053	-3.8806870258099515	-3.9392620332757593	-3.9972708133856583	-4.054355751914655	-4.110122801589634	-4.1642163215417485	-4.216379649621215	-4.266473081763973	-4.314456815385236	-4.360361219644465	-4.404259546492324	-4.446247975712989	-4.486432604117422	-4.524921536109563	-4.561820340844149	-4.597229614279202
4.8	-3.7020143680644284	-3.7607209031664928	-3.8194586178259575	-3.8781728101020194	-3.93676414363272	-3.995069719958501	-4.052847685533222	-4.10977968566241	-4.165505441946	-4.219684264452232	-4.272052927043976	-4.322451527996868	-4.37081616504193	-4.417155199654356	-4.461524123576633	-4.5040056560634785	-4.544696020318011	-4.5836962043224085	-4.621106701802923	-4.657024518932373
4.9	-3.7595699164664875	-3.818074090040755	-3.8765858853060555	-3.9350533526734885	-3.993385337336206	-4.051435540675285	-4.108988939612518	-4.165761411104278	-4.22142468846073	-4.27565608427972	-4.328191506674981	-4.378855977895115	-4.427564602812323	-4.474305056389253	-4.519115317561075	-4.562064385998033	-4.603238171032217	-4.642730078823047	-4.680635101075621	-4.717046286242726
5.0	-3.817593431715152	-3.8759062666977067	-3.9342052771975373	-3.992440945805794	-4.050529106187405	-4.108337457977237	-4.165673672591086	-4.222283356803143	-4.277867919271444	-4.332124289484609	-4.384792021769377	-4.435685826738522	-4.484703135246469	-4.531812621832348	-4.577035308210487	-4.620426423559305	-4.662061249917071	-4.702025219434844	-4.740407436041403	-4.777296644623264
5.1	-3.8760693565967994	-3.9342009814524004	-3.9922992214862147	-4.050316732361125	-4.108175374245973	-4.16575474794116	-4.222881819147195	-4.27932797532121	-4.334821715506802	-4.389080120475086	-4.441849774733858	-4.492939315802397	-4.542231859587771	-4.589679042122564	-4.635285765307072	-4.679093646756045	-4.721167164333534	-4.761583467013645	-4.800425433770612	-4.837777187755281
5.2	-3.934982994108157	-3.992942736455747	-4.050851221595673	-4.108663065633031	-4.166305371794962	-4.223667938701215	-4.280594225363444	-4.336877980364416	-4.392272176489063	-4.446513814457209	-4.499358892774653	-4.550613595333736	-4.600149973095965	-4.647904763235046	-4.693867827102335	-4.7380675320891275	-4.780557516561636	-4.821406427896772	-4.8606906384616035	-4.898489364536038
5.3	-3.994320441744415	-4.052116910270877	-4.109845763468526	-4.167463401049595	-4.224901525084949	-4.282058737887813	-4.338792676931784	-4.394916514471654	-4.450205181168393	-4.504414856945411	-4.557312499137038	-4.608704810565203	-4.658455801368879	-4.706489529375733	-4.752782086511242	-4.797349137603166	-4.840233587627644	-4.881495459864307	-4.921204399764046	-4.9594344695556405
5.4	-4.05406853205648	-4.111709688382367	-4.169268232759746	-4.2267021995611085	-4.28394735509738	-4.340909955714679	-4.397459896451868	-4.453427261282436	-4.508606596988815	-4.562772209886509	-4.615702889386967	-4.66720820498211	-4.7171468438042155	-4.7654323940770125	-4.812028585592605	-4.856939091038655	-4.900196324200908	-4.941851659942937	-4.981967862218204	-5.0206136342608545
5.5	-4.114214778782854	-4.171708000686337	-4.229104840873912	-4.286364841410835	-4.3434273853250005	-4.400205427940533	-4.456579520522727	-4.5123945151183635	-4.567462440985188	-4.621574510751922	-4.674521703814242	-4.726118234619459	-4.776219833462115	-4.8247317433407835	-4.87160681850882	-4.9168375834922475	-4.960446328944878	-5.0024758543531735	-5.04298195602924	-5.082027818960821
5.6	-4.174747327944991	-4.232099465134532	-4.2893425587450285	-4.346437549087298	-4.403327058174591	-4.459929941250667	-4.516136064279758	-4.571803218646648	-4.626758999665167	-4.680810240581016	-4.73376008917433	-4.785428687363277	-4.835670808008428	-4.884385329602224	-4.931515742792391	-4.977044368797545	-5.020983854611897	-5.063368590857327	-5.1042473893768046	-5.143677805822197
