M(m₀)|α↓|ω→	0.1 ω₀	0.2 ω₀	0.3 ω₀	0.4 ω₀	0.5 ω₀	0.6 ω₀	0.7 ω₀	0.8 ω₀	0.9 ω₀	1.0 ω₀	1.1 ω₀	1.2 ω₀	1.3 ω₀	1.4 ω₀	1.5 ω₀	1.6 ω₀	1.7 ω₀	1.8 ω₀	1.9 ω₀	2.0 ω₀
3.0	510.8872706600399	94.23596774055076	29.988509876609758	12.815248683404786	7.2584863578712095	5.06265105600721	3.987467057765553	3.367890053101537	2.968440417803229	2.689950707899186	2.4845150263595235	2.3264386039187483	2.2007841509792354	2.098301215577363	2.012963153597136	1.940677521304112	1.8785679809050744	1.8245534093382239	1.7770902952210812	1.7350091370936318
3.1	572.4848209776089	108.52707791022007	35.46728713260767	15.152404903489616	8.326304300261189	5.630352445612125	4.338070535523567	3.609478462659688	3.1480104144166905	2.8307193499910364	2.599207211559883	2.422621572977406	2.283257022057405	2.1702682401034545	2.0766550440756117	1.9977017260165408	1.9301167321421635	1.871532858013928	1.820203730867407	1.7748123809994727
3.2	636.1451890380284	123.50876478923477	41.3943852668972	17.814145699412567	9.576491606182435	6.289285541830728	4.737224335492729	3.8795883192845357	3.345844404880486	2.9840000527784722	2.7229286863308713	2.525589758605654	2.3709947986858197	2.2464272982283044	2.1437559900976684	2.057547351270032	1.9840353416966097	1.9205281120805326	1.8650505195273606	1.8161202276639805
3.3	701.6449557093737	139.0931702756498	47.70980278914286	20.778482160812406	11.01910069417618	7.0506482381119575	5.191531477302162	4.181896444179497	3.564078714650437	3.1511071693309236	2.85653192475338	2.635921459812297	2.4644047563293907	2.327074314319424	2.21448671301071	2.1203827144192378	2.0404546159388217	1.9716424970315523	1.9117134434011274	1.8589998281979372
3.4	768.7961611629794	155.20660578531263	54.35995895079014	24.0150778332276	12.655889504642325	7.923960277324926	5.7076677515778735	4.520314656373158	3.805019469674184	3.3334619091951785	3.0009358821750793	2.754237126997617	2.563921604432003	2.412523545805344	2.289080488549491	2.1863849203619528	2.0995116324861467	2.0249838908601023	1.9602786394690261	1.9035208387551363
3.5	837.4405823475438	171.78783457399362	61.29912130312589	27.49092832468997	14.480468401164694	8.915847387676381	6.291944225210862	4.898869305951071	4.071108964183612	3.5325822446163886	3.157122709945223	2.881198194123178	2.6700070211831854	2.503107365257017	2.3677830219335005	2.2557397752221364	2.161349672600098	2.080664667594478	2.010835551028556	1.949755378544044
3.6	907.4445334203017	188.78607625539956	68.48921515895935	31.17434330949666	16.48010321875891	10.029132450954634	6.94977576164378	5.32152586218222	4.364870689038972	3.7500645235731076	3.3261309914341672	3.0175043173865728	2.783148395836428	2.599175619073506	2.4508520825322164	2.3286415563223275	2.226118063915452	2.1388015828304816	2.063476840551165	1.99777796136967
3.7	978.6944219944781	206.15911699689974	75.89891058807784	35.03703612010278	18.638325719639646	11.262539436165596	7.685140858773051	5.79196367821376	4.688830454303083	3.987555112910008	3.509044692283863	3.1638886418212304	2.90385659540954	2.701094470148452	2.5385568491198787	2.4052926114569027	2.293971918074699	2.199515592154516	2.1182982583315284	2.047665397267593
3.8	1051.0930756184684	223.87167736497733	83.50251042812245	39.054815470024344	20.937412579862386	12.61110329483145	8.500152487204623	6.313320905390503	5.045414143130169	4.246710966722723	3.706977115234663	3.3211107290349355	3.032662570825633	2.8092446292962348	2.6311769150347835	2.4859027595227747	2.365071747341038	2.2629315931018597	2.175398461283714	2.0994966607421874
3.9	1124.5567586891739	241.8940651406064	91.27889156533945	43.20747644020651	23.36018487085718	14.067112647287102	9.394852645586257	6.887945048428263	5.436827320673445	4.529149112120265	3.921049402640633	3.4899468395738125	3.170112632392663	2.924018883914009	2.729000903470008	2.570688464793725	2.4395829443397736	2.3291780813427034	2.234878776283933	2.153352722164052
