T(K)	v(ω₀)	w(ω₀)	E(meV)	Reχ(m₀/ω₀)	Imχ(m₀/ω₀)	μ(cm²V⁻¹s⁻¹)
53	2.6055015824766548	2.534876526211085	-6.262021059484689	-2.844847580749643e-17	0.010914371635469095	2752.928758974365
54	2.610283367989551	2.5391673834394926	-6.275413427735604	-2.7673720429566586e-17	0.01183080030515609	2539.683435305902
55	2.6156003211543783	2.543988496696869	-6.2890595520133115	-2.6933568305274912e-17	0.012783819877406856	2350.3528561536446
56	2.6214330538389365	2.549320843052126	-6.302955944190902	-2.62258755193844e-17	0.013772568736752313	2181.618268583218
57	2.6277625006784566	2.55514571068633	-6.317098801943872	-2.5548667088736645e-17	0.014796132364759613	2030.6987542892998
58	2.6345700159002385	2.5614447948328443	-6.3314840435439255	-2.490012091578607e-17	0.01585355178654561	1895.2527462594476
59	2.6418374478001616	2.5682002716410532	-6.346107341065628	-2.4278553514131288e-17	0.016943831438310797	1773.299484878044
60	2.649547194099628	2.575394853150582	-6.360964151893584	-2.3682407284561684e-17	0.018065946546854724	1663.1560092071693
61	2.657682240978117	2.5830118261343955	-6.376049748456821	-2.3110239150914576e-17	0.01921884977478076	1563.3863583680413
62	2.6662261885692464	2.591035077564304	-6.391359246150712	-2.2560710390907272e-17	0.02040147742077653	1472.7603762077592
63	2.675163265124368	2.5994491088739253	-6.406887629435127	-2.203257751944636e-17	0.02161275499083201	1390.220153523346
64	2.6844783321443644	2.608239041292999	-6.422629776119993	-2.152468410058642e-17	0.02285160226337972	1314.8525523554736
65	2.694156881997683	2.617390613749972	-6.43858047986914	-2.1035953380791945e-17	0.024116937852158765	1245.8666081741967
66	2.7041850297744507	2.6268901750729867	-6.454734470967584	-2.056538164970813e-17	0.025407683286692212	1182.5748621935315
67	2.714549500638806	2.6367246717356583	-6.47108643540934	-2.011203224671096e-17	0.026722766639912656	1124.3778747272383
68	2.725237613654247	2.646881632109534	-6.487631032372083	-1.9675030141799324e-17	0.028061125729838578	1070.7513251853345
69	2.7362372631652514	2.657349148295068	-6.504362910150864	-1.9253557028048774e-17	0.029421710961994228	1021.2352232074394
70	2.747536898365758	2.6681158561529053	-6.521276720627767	-1.8846846870670958e-17	0.030803487747707074	975.4248547278067
71	2.7591255017093435	2.679170914183219	-6.538367132357058	-1.8454181864230738e-17	0.03220543866853698	932.963151679433
72	2.770992566650338	2.690503981735961	-6.555628842346617	-1.8074888755360804e-17	0.03362656525174145	893.5342440263327
73	2.7831280751194223	2.702105196951861	-6.573056586616148	-1.7708335493268105e-17	0.03506588955254545	856.8579877716478
74	2.795522475030014	2.7139651547259662	-6.590645149612476	-1.735392817472777e-17	0.0365224553936415	822.6853106554273
75	2.8081666580923645	2.7260748849684147	-6.608389372559615	-1.7011108253996922e-17	0.03799532944385378	790.7942371131969
76	2.8210519380489143	2.738425831274068	-6.626284160820242	-1.6679349991467012e-17	0.039483602038667076	760.9864857819156
77	2.834170029597285	2.751009830265126	-6.644324490341017	-1.6358158117688767e-17	0.04098638785708389	733.0845466594062
78	2.8475130279372998	2.763819091543311	-6.66250541325286	-1.6047065692076536e-17	0.04250282638336109	706.9291649079477
79	2.8610733891609628	2.7768461784687783	-6.680822062692518	-1.574563213771501e-17	0.04403208223480429	682.3771676567976
80	2.8748439114361863	2.790083989716859	-6.699269656909341	-1.5453441435764263e-17	0.04557334539290466	659.2995818581029
81	2.8888177170420017	2.8035257416700943	-6.717843502717186	-1.5170100464650292e-17	0.047125831235142676	637.5800017509437
82	2.902988235260417	2.8171649516507657	-6.736538998348294	-1.4895237470782506e-17	0.04868878053609402	617.1131671523967
83	2.9173491861335137	2.8309954220027866	-6.755351635761882	-1.4628500658893636e-17	0.050261459342362466	597.8037238583024
84	2.931894565036706	2.8450112249742356	-6.774277002457586	-1.4369556891329497e-17	0.051843158753317894	579.5651400097994
85	2.9466186280918314	2.8592066884246017	-6.793310782839773	-1.411809048664901e-17	0.053433194675783634	562.3187560416308
86	2.961515878351897	2.873576382289089	-6.812448759176106	-1.3873802108887911e-17	0.05503090746894562	545.9929509316635
87	2.976581052774582	2.888115105817459	-6.831686812190299	-1.3636407739650319e-17	0.05663566155091326	530.5224082958105
88	2.9918091099119324	2.90281787551563	-6.8510209213262225	-1.3405637725982643e-17	0.058246845007329094	515.8474687794034
89	3.007195218297954	2.9176799137721035	-6.870447164717647	-1.3181235897640342e-17	0.05986386908348469	501.91355856927396
90	3.0227347455049904	2.932696638140774	-6.889961718895312	-1.2962958747962011e-17	0.061486167709607395	488.67068286518185
91	3.038423247848628	2.947863651260367	-6.90956085826022	-1.2750574673107481e-17	0.0631131969671716	476.0729768933374
92	3.0542564606601594	2.963176731330146	-6.9292409543502735	-1.254386326492024e-17	0.06474443455532888	464.0783067730711
93	3.07023028913703	2.978631823152852	-6.948998474924512	-1.2342614653076657e-17	0.06637937923088975	452.647914300391
94	3.086340799741508	2.99422502971563	-6.96882998288734	-1.214662889259204e-17	0.06801755024339484	441.7461001447159
95	3.1025842120809286	3.009952604242818	-6.988732135073653	-1.1955715393117903e-17	0.06965848675725513	431.339940905155
96	3.118956891266037	3.0258109427175355	-7.008701680913252	-1.1769692386760963e-17	0.07130174724919303	421.39903607701564
97	3.1354553407140857	3.041796576839469	-7.028735460991582	-1.158838643144614e-17	0.07294690898629165	411.89528081393206
98	3.1520761953799017	3.0579061674020998	-7.048830405522626	-1.14116319471095e-17	0.07459356738495539	402.80266267942227
99	3.1688162153522113	3.074136498027551	-7.068983532747631	-1.1239270782242274e-17	0.07624133546306817	394.09707842764203
100	3.1856722798484087	3.0904844692922877	-7.089191947272582	-1.1071151808499652e-17	0.07788984326213341	385.7561692645518
101	3.202641381522816	3.106947093159361	-7.109452838356062	-1.0907130541309374e-17	0.07953873728523837	377.75917228438675
102	3.219720621157128	3.1235214877860575	-7.129763478157499	-1.0747068784545906e-17	0.08118767993233278	370.08678639985385
103	3.2369072025512344	3.1402048725258114	-7.150121219955616	-1.0590834297566448e-17	0.08283634896083002	362.7210510644876
104	3.2541984277981575	3.1569945633080323	-7.170523496345148	-1.0438300482942246e-17	0.08448443693886121	355.6452365677794
105	3.271591692778554	3.17388796823201	-7.190967817419375	-1.0289346093448925e-17	0.08613165072379977	348.8437445343717
106	3.289084482919157	3.190882583419313	-7.211451768945371	-1.0143854956940387e-17	0.08777771094186065	342.30201766503296
107	3.3066743691679052	3.2079759890779105	-7.231973010537745	-1.0001715717863205e-17	0.08942235148964142	336.00645767962715
108	3.3243590041946365	3.2251658457869485	-7.25252927383645	-9.862821594251827e-18	0.09106531903672462	329.94435070611087
109	3.342136118823186	3.242449891008587	-7.2731183606929	-9.72707014913529e-18	0.09270637255039374	324.10379928396117
110	3.3600035186287402	3.2598259357605217	-7.293738141369162	-9.594363075392383e-18	0.09434528283395723	318.4736603556236
111	3.377959080706469	3.277291861456079	-7.314386552753311	-9.464605993138747e-18	0.09598183206244218	313.04348870804864
112	3.3960007506514063	3.294845616951409	-7.335061596594561	-9.337708258800953e-18	0.09761581335638006	307.80348519682883
113	3.414126539666699	3.3124852157176523	-7.355761337760476	-9.213582785117758e-18	0.0992470303493224	302.74444943754514
114	3.432334521824154	3.330208733161815	-7.376483902519157	-9.092145871346045e-18	0.10087529677437639	297.85773645475047
115	3.4506228314832406	3.348014304102856	-7.397227476848039	-8.973317043002695e-18	0.10250043606910984	293.1352169190618
116	3.468989660817062	3.3659001203518533	-7.4179903047712195	-8.857018900536539e-18	0.10412228098413202	288.5692406795809
117	3.4874332574814413	3.3838644284320765	-7.438770686726724	-8.743176976352767e-18	0.10574067321128176	284.1526032407669
118	3.5059519224084776	3.4019055274210204	-7.459566977964826	-8.631719599658833e-18	0.10735546302287254	279.87851493887564
119	3.524544007679781	3.4200217668693624	-7.480377586978602	-8.52257776865278e-18	0.10896650892010325	275.7405725776506
120	3.543207914537812	3.4382115448556703	-7.501200973967178	-8.41568502957858e-18	0.11057367730043631	271.7327332777272
121	3.5619420914682602	3.4564733061096655	-7.522035649332514	-8.310977362241067e-18	0.11217684212748857	267.84929038445586
122	3.5807450323852503	3.474805540236217	-7.542880172210061	-8.208393071573805e-18	0.11377588462083625	264.0848512103276
123	3.5996152749169177	3.493206780037572	-7.563733149033372	-8.107872684893048e-18	0.11537069295466754	260.4343164795159
124	3.618551398751685	3.5116755998942684	-7.58459323213314	-8.009358854502095e-18	0.11696116196594591	256.89286132575523
125	3.6375520240610393	3.5302106142207608	-7.605459118370441	-7.912796265321319e-18	0.11854719287008407	253.45591771493824
126	3.65661581002556	3.548810476022316	-7.62632954780412	-7.818131547241674e-18	0.12012869299924946	250.11915813988475
127	3.675741453367972	3.56747387545756	-7.6472033023923265	-7.725313191938249e-18	0.12170557553397388	246.8784805428205
128	3.6949276870662797	3.5861995385791934	-7.668079204727604	-7.634291473854146e-18	0.12327775925960545	243.72999429802505
129	3.714173278965858	3.604986225972312	-7.688956116805764	-7.545018375162688e-18	0.12484516832319363	240.67000721753143
130	3.733477030597667	3.6238327315974406	-7.709832938827448	-7.457577726624704e-18	0.12640773200191383	237.69501347403363
131	3.752837775964338	3.642737881599966	-7.730708608032617	-7.373005356078582e-18	0.1279653844827705	234.80168236795674
132	3.7722543804370097	3.66170053322912	-7.751582097567073	-7.287234759332077e-18	0.12951806464722368	231.986847883007
133	3.7917257396251447	3.6807195737287355	-7.772452415380601	-7.204633485685298e-18	0.13106571586735452	229.24749895560473
134	3.811250778383269	3.6997939193636777	-7.793318603156321	-7.123312388773278e-18	0.13260828580757442	226.58077041292034
135	3.8308284497699305	3.7189225143974713	-7.814179735270454	-7.043609702320305e-18	0.1341457262360414	223.98393452019081
136	3.850457734146683	3.7381043302089716	-7.835034917782009	-6.975874821919086e-18	0.1356779928431182	221.45439309497377
137	3.870137638237331	3.7573383643681084	-7.855883287451865	-6.892954979584597e-18	0.1372050450634182	218.9896701504599
138	3.8898671942570004	3.7766236397807607	-7.876724010790465	-6.813084630338534e-18	0.13872684591407353	216.58740500758972
139	3.9096454590837686	3.7959592038752037	-7.897556283133481	-6.739710390025442e-18	0.1402433618310079	214.2453458697226
140	3.9294715134416336	3.8153441277990483	-7.918379327745048	-6.67182391832926e-18	0.1417545625118083	211.96134381151964
141	3.949344461141481	3.8347775056733564	-7.939192394947559	-6.598934876564665e-18	0.14326042077073659	209.73334714338952
142	3.969263428330629	3.8542584538546936	-7.959994761277666	-6.534298428342914e-18	0.1447609123973502	207.55939613687408
143	3.9892275628090124	3.8737861102630293	-7.980785728667624	-6.4651659765831676e-18	0.14625601601677105	205.43761808725554
144	4.009236033306395	3.8933596336699803	-8.001564623651475	-6.3972273601215414e-18	0.1477457129622066	203.36622267410795
145	4.029288028862651	3.9129782030895384	-8.022330796595382	-6.330454122752213e-18	0.14922998714777447	201.34349761528497
146	4.049382758171802	3.9326410171318726	-8.043083620951396	-6.2648186722543285e-18	0.1507088249485477	199.36780458393778
147	4.069519448972663	3.9523472934033403	-8.063822492534072	-6.200294248517336e-18	0.15218221508565782	197.43757537308068
148	4.0896973475100795	3.9720962679762457	-8.084546828819501	-6.136854893045612e-18	0.15365014851516234	195.5513082921096
149	4.109915717943732	3.9918871948059844	-8.105256068265616	-6.0744754197872295e-18	0.15511261832065418	193.70756477918388
150	4.130173841779064	4.011719345169548	-8.125949669653854	-6.0131313872136706e-18	0.15656961961684807	191.90496620574095
151	4.150471017404665	4.031592007210239	-8.146627111450982	-5.9527990715756265e-18	0.15802114944593626	190.1421908824726
152	4.170806559549527	4.051504485401614	-8.167287891190881	-5.893455441302786e-18	0.15946720668793593	188.41797122724685
153	4.191179798837656	4.071456100108587	-8.18793152487541	-5.8350781324681346e-18	0.16090779196946492	186.73109110290187
154	4.2115900812662375	4.091446187071527	-8.208557546394193	-5.7776454252879244e-18	0.16234290758045358	185.08038330240308
155	4.232036767822142	4.111474097028352	-8.229165506962254	-5.7211362215805255e-18	0.1637725573886847	183.46472718324233
156	4.252519234017075	4.131539195255012	-8.249754974575431	-5.665530023164907e-18	0.165196746764887	181.88304642693723
157	4.273036869460988	4.151640861143756	-8.27032553348278	-5.610806911140535e-18	0.16661548250266717	180.3343069329464
158	4.293589077500257	4.171778487845977	-8.290876783675461	-5.556947526003065e-18	0.16802877275313913	178.81751481670338
159	4.314175274766278	4.191951481825093	-8.311408340391772	-5.503933048575572e-18	0.16943662694767003	177.33171453358014
160	4.334794890893521	4.212159262578658	-8.331919833637562	-5.451745181686735e-18	0.17083905573850058	175.87598708932464
161	4.355447368037689	4.232401262160242	-8.352410907721945	-5.400366132604108e-18	0.17223607093178533	174.44944835810236
162	4.3761321606652785	4.252676924972539	-8.37288122080738	-5.349778596134499e-18	0.17362768542755003	173.0512474864183
163	4.396848735081493	4.272985707298521	-8.393330444474012	-5.299965738419878e-18	0.1750139131623057	171.68056538197746
164	4.417596569199969	4.293327077074209	-8.41375826329777	-5.250911181342825e-18	0.17639476905242615	170.3366132840756
165	4.4383751521906305	4.313700513539372	-8.434164374441611	-5.202598987552642e-18	0.17777026894083087	169.0186314080316
166	4.459183984174295	4.334105506934728	-8.454548487259688	-5.1550136460666326e-18	0.17914042954819495	167.72588765805878
167	4.48002257594921	4.354541558230922	-8.474910322914049	-5.108140058422565e-18	0.18050526842133352	166.4576764113208
168	4.5008904486435615	4.3750081787832285	-8.495249614003296	-5.0619635253685956e-18	0.18186480388695603	165.21331736124878
169	4.521787133561698	4.395504890179974	-8.515566104202936	-5.016469734039959e-18	0.1832190550076661	163.9921544195267
170	4.542712171771536	4.4160312238317125	-8.535859547917157	-4.971644745646531e-18	0.18456804154150222	162.7935546721432
171	4.563665113967481	4.436586720835959	-8.556129709941361	-4.927474983596232e-18	0.18591178389470253	161.61690739536334
172	4.584645520163904	4.457170931672323	-8.576376365135484	-4.8839472220782886e-18	0.1872503030897859	160.46162310888087
173	4.60565295941685	4.47778341592557	-8.59659929810758	-4.841048575068634e-18	0.1885836207240328	159.32713268553687
174	4.626687009700831	4.498423742163875	-8.616798302907153	-4.7987664857264005e-18	0.1899117589321759	158.21288650244975
175	4.647747257554331	4.5190914875854595	-8.636973182728315	-4.763828304193597e-18	0.19123474036897936	157.1183536184038
176	4.668833297971725	4.539786237911688	-8.657123749622167	-4.6853874869567516e-18	0.19255258813205747	156.0430210411417
177	4.689944734101855	4.560507587086594	-8.677249824218226	-4.68692974147095e-18	0.1938653257767071	154.98639295623346
178	4.711081177099486	4.581255137129195	-8.697351235454558	-4.671304263148818e-18	0.195172977263359	153.9479900481989
179	4.732242245883337	4.602028497892286	-8.717427820316408	-4.6826983452498146e-18	0.1964755669641659	152.92734880819535
180	4.753427566997252	4.622827286924538	-8.737479423582899	-4.657544265506059e-18	0.1977731196021522	151.9240209279177
181	4.774636774348514	4.643651129209085	-8.75750589758178	-4.781756719956847e-18	0.1990656601534313	150.93757274990773
182	4.79586950912212	4.664499657078619	-8.777507101951752	-4.710199574578988e-18	0.20035321396392933	149.96758458202908
183	4.817125419465976	4.685372509900822	-8.79748290341225	-4.7258527897754384e-18	0.20163580675079368	149.0136501328461
184	4.838404160460267	4.7062693340482395	-8.817433175540344	-4.693729335714848e-18	0.20291346425778625	148.0753762266123
185	4.859705393877907	4.727189782659041	-8.837357798554677	-4.65234012170404e-18	0.2041862130126394	147.15238173087144
186	4.8810287880217835	4.748133515474444	-8.85725665910603	-4.629275397748672e-18	0.20545407863671566	146.24429829181054
