mp_id	formula	eps_total(ϵ0)	eps_optic(ϵ0)	eps_ionic(ϵ0)	omega_LO(THz2π)	band_mass(me)	volume(Å^3)	alpha	v_gs	w_gs	v_rt	w_rt	energy_gs(meV)	energy_rt(meV)	ZPR(meV)	imag_memory	mobility(cm^2/V/s)
mp-1009792	RuC	54.021699999999996	37.59069999999999	16.431	21.425802674114458	0.93083904	22.9742290803	0.09673231861260881	3.009708562469413	2.9880698725175723	2.8568151985493717	2.823466526453941	-8.57627597485487	-9.859848139151428	-8.5796	0.3857614082812251	779.5575134419332
mp-1009813	SiSn	24.7986	24.525700000000004	0.27289999999999737	10.387923582921015	0.16670889	53.9907994386	0.0032602994062065063	5.244595829722989e9	5.2445958006899805e9	4.399075206952428	4.397427756985267	-0.14002741167677984	-0.20301264408240013	-0.1401	0.023873388017248122	70334.54999566491
mp-1009819	SrO	70.7128	4.5252	66.1876	13.48626245805137	0.9834688899999999	29.1454556971	3.203781195725539	3.4641406144353986	2.523547232291469	4.815146373725204	2.931050971283134	-187.2097337011792	-248.4307488931315	-185.484	44.634393156066594	6.376924405908063
mp-1009820	SnC	15.9691	12.089499999999997	3.879600000000001	19.154609558916516	0.07717283999999999	32.0765160044	0.07316127704019744	3.007329873308373	2.990990409097104	2.9924928585261643	2.965820778541142	-5.7973865476619375	-6.846397915397932	-5.799	0.3444562611117674	10530.353819448392
mp-1011695	Cs2Se	6.795599999999999	3.6817	3.1138999999999992	3.6794300497881993	0.32319225	142.187424036	2.1157101394115507	3.263303731603548	2.7076711056490512	12.411699181565005	10.389063365546576	-33.13571272474472	-76.40813503335296	-32.9547	18.85364778764113	45.939387665741314
mp-1014244	ZrZnN2	27.3722	8.882099999999998	18.490099999999998	19.12257120145889	2.0166840099999996	48.2777315124	1.4165998731361653	3.162370297664484	2.81238484561437	3.318056285154506	2.733770196023394	-114.08254051682889	-135.48255625188585	-113.7257	8.930042551836072	15.543547567591101
mp-10159	K3Sb	18.9922	7.6434999999999995	11.3487	3.0392190381613755	0.11669056000000003	147.608628088	0.8786237728597218	3.0951222786845203	2.8871242190354596	13.990945112673607	13.12015189065533	-11.166523047716314	-28.407550003979683	-11.1434	5.995790772567157	400.0915105639889
mp-10163	NaAlTe2	15.333799999999998	7.946900000000001	7.386899999999999	6.503157886694966	0.28121809	223.900469732	0.7230389159592948	3.077061613930574	2.9078947102148973	6.835974424005966	6.34760139279838	-19.619626734751247	-34.823908301778786	-19.5918	6.149215525448917	161.87454492572726
mp-10167	Na3SbS4	13.9104	5.1006	8.8098	7.054362714320644	0.75568249	179.94484347799997	2.3309527395921945	3.2981742487727512	2.673464939413242	7.110801806434266	5.430369111624908	-70.22099929792157	-119.98457932172329	-69.7936	27.65063009657124	13.396678594215675
mp-1018040	MgSe	7.302700000000001	4.753	2.5496999999999996	9.977905147140678	0.18567481	104.670974202	0.5747541765567564	3.0603686666862435	2.927362071728375	4.721253203879216	4.412543370597486	-23.880569820145446	-35.22406056742207	-23.8568	4.741099856653848	317.98705392008554
