mp_id	formula	eps_total(ϵ0)	eps_optic(ϵ0)	eps_ionic(ϵ0)	omega_LO(THz2π)	band_mass(me)	volume(Å^3)	alpha	v_gs	w_gs	v_rt	w_rt	energy_gs(meV)	energy_rt(meV)	ZPR(meV)	imag_memory	mobility(cm^2/V/s)
mp-8098	InGaO3	12.028	4.6033	7.424700000000001	17.328544083293984	1.67495364	115.558153489	2.391245067116597	3.3083103704912076	2.663699690738275	3.8211361477272088	2.674007003003801	-177.0885589282339	-216.85824809458114		21.705807752096515	7.699504668172716
mp-8127	K2Mg(CO3)2	6.838099999999999	2.5681	4.2700000000000005	22.253214412863496	2.0862913599999997	131.729223571	4.270307189477695	3.748354171026034	2.310174136392454	4.36018146919041	1.988870356648252	-420.29540366018625	-489.63017701340226		45.808379386948204	2.929015316443993
mp-8145	RbScO2	17.0059	4.0698	12.9361	16.70139021357442	1.6944228900000002	57.3454409942	3.4147018241866087	3.5116967276558877	2.484260215852491	4.3778185868962	2.495716645892588	-248.0352222167326	-308.4158197661686		42.87020497913488	3.8535780538950855
mp-8147	K2As2Pd	12.501799999999998	7.9333	4.568499999999999	4.08038102591072	1.6207836099999997	273.663350717	1.6651251511388858	3.1963027472523677	2.776214840956547	11.019452032712733	9.53537870354728	-28.725430233713716	-63.19692874202432		14.460972254717582	11.94315312800168
mp-8161	CaPdF4	6.7983	3.0051999999999994	3.793100000000001	12.9757765692624	4.200040359999999	159.375262959	6.058542472028088	4.71705115886384	1.857243285718007	7.425408709089905	2.2283302514724617	-364.14985590163127	-492.0503637046832		201.2225230031844	0.3312161280888336
mp-8175	KTlO2	12.456899999999997	4.9224	7.534499999999999	12.991082441164798	4.40370225	62.38970561739999	4.103376611362605	3.6955238390470053	2.34615318534303	5.491815318727438	2.770338251286267	-234.9830237973195	-316.6349721716028		75.97370592533338	0.8366817021465957
mp-8176	RbTlO2	13.434000000000001	5.16	8.274	12.32313709293126	1.66539025	66.5835900608	2.5167805985219966	3.3299818737680447	2.643110433172365	4.747126402298931	3.3143732543426143	-132.82652494902413	-181.45155333864673		30.341643553906987	5.539702086706664
mp-8177	HgF2	11.676200000000001	3.9305	7.7457	9.666758291469188	5.340258810000001	42.34532727679999	7.195145598308404	6.1093890034952265	1.5574584373644573	10.132214280736052	2.5677835201250843	-335.93875975022326	-495.0705443182815		359.27479184928825	0.14589905473353004
mp-8180	LiNO3	7.2128	2.6141	4.5987	22.727551362483297	5.627332839999999	94.7642693028	6.960997646697793	5.753016921902149	1.6132596494077092	7.51210054535846	1.4760197811276026	-756.6789371425169	-891.0875146932303		115.26832080429699	0.4315478527982301
mp-8187	K2ZnO2	10.8809	3.3344000000000005	7.5465	12.07594605271292	5.84624041	165.132636449	8.300960184784225	8.224607630310134	1.3599479470430047	11.46922576947281	1.8439879357833293	-509.8019832008847	-689.6785440235715		449.1689584889066	0.10659948932531295
