T(K)	v(ω₀)	w(ω₀)	E(meV)	Reχ(m₀/ω₀)	Imχ(m₀/ω₀)	μ(cm²V⁻¹s⁻¹)
29	13.827342644999323	13.68758477153208	-6.966050185131588	0.0	2.1475443686039762e-5	249071.25813569466
30	13.76682004851918	13.627000046065419	-6.970424083715846	0.0	2.885993188640549e-5	185340.5544738585
31	13.70551560426067	13.565631865644622	-6.974952181080017	0.0	3.8035553924924976e-5	140629.3645272509
32	13.643421528039523	13.503472034866943	-6.979654261627502	0.0	4.9252879041313544e-5	108601.07839416835
33	13.580535661044898	13.440517950047402	-6.984550997712397	0.0	6.27665996395191e-5	85219.14216516518
34	13.516861812348772	13.376772945559175	-6.989663727618054	0.0	7.883234899649813e-5	67851.78731819589
35	13.452409984000832	13.3122465230699	-6.995014231028224	0.0	9.770373324690854e-5	54746.27836775549
36	13.38719648022636	13.24695446505492	-7.000624508407785	0.0	0.0001196296331200171	44712.29776771065
37	13.321243908451539	13.180918840178732	-7.006516569569787	0.0	0.00014485182882224208	36926.80873548525
38	13.254581082322709	13.114167910596846	-7.012712235554689	0.0	0.00017360296115039543	30811.201274788855
39	13.187242835214322	13.046735949595718	-7.019232956858616	0.0	0.00020610481475111033	25952.40574250276
40	13.11926975742189	12.978662982689752	-7.026099650058691	0.0	0.00024256695078425005	22051.29660331077
41	13.050707868447553	12.909994463536764	-7.033332554012305	0.0	0.00028318565591292996	18888.371166471774
42	12.98160823504026	12.840780895303682	-7.040951106079551	0.0	0.0003281431625908021	16300.55532979164
43	12.912026547044908	12.771077409515744	-7.0489738382154306	0.0	0.00037760716893204475	14165.291917079014
44	12.84202266109008	12.700943312413758	-7.057418292308406	0.0	0.00043173056125784875	12389.476812389876
45	12.771660121288141	12.630441607998659	-7.066300953784025	0.0	0.0004906513708027414	10901.662761387923
46	12.701005666193193	12.559638507017265	-7.075637202239673	0.0	0.0005544929122233135	9646.499819911116
47	12.630128729202285	12.48860292909418	-7.085441277705221	0.0	0.0006233640110435272	8580.726001409614
48	12.559100939553556	12.417406005181808	-7.095726261030899	0.0	0.0006973594882791156	7670.24162975653
49	12.487995629641464	12.34612058607351	-7.106504066868468	0.0	0.0007765605695689946	6887.9569572698365
50	12.416887353606436	12.274820761960648	-7.117785447716806	0.0	0.0008610355183968992	6212.189466774785
51	12.345851421339288	12.203581397200669	-7.129580007554867	0.0	0.0009508402575639876	5625.462043022745
52	12.2749634516769	12.132477684093772	-7.141896223648683	0.0	0.0010460190302651884	5113.5931786519395
53	12.204298947557685	12.061584718461583	-7.154741475214396	0.0	0.0011466051269740946	4665.00249481706
54	12.133932894982273	11.990977098896193	-7.168122077718174	0.0	0.0012526215749145725	4270.176951302291
55	12.06393938813824	11.920728552055404	-7.182043321699047	0.0	0.0013640818746650954	3921.257130711036
56	11.994391281173685	11.850911584510195	-7.196509515111455	0.0	0.0014809906936183955	3611.71464544154
57	11.925359868196225	11.781597162734199	-7.2115240282942725	0.0	0.0016033445645349048	3336.098737738128
58	11.856914591462205	11.712854421215255	-7.227089340773635	0.0	0.0017311325822359073	3089.8360026218193
59	11.789122777806249	11.644750398753013	-7.243207089210267	0.0	0.0018643370000155908	2869.0712987294964
60	11.722049404012653	11.577349803648122	-7.259878115892325	0.0	0.0020029339940718827	2670.540214373244
61	11.655756889257292	11.510714805930842	-7.277102517263045	0.0	0.002146894001605184	2491.4671026631586
62	11.590304916118226	11.44490485811925	-7.2948796920514365	0.0	0.0022961825962690115	2329.4818916385193
63	11.525750276988477	11.379976541364012	-7.313208388642832	0.0	0.002450760880378134	2182.5531085998427
64	11.462146747496002	11.315983438569985	-7.332086751395079	0.0	0.0026105856720426315	2048.9332471203547
65	11.399544983880402	11.252976031463142	-7.351512365658469	0.0	0.002775610639251827	1927.1131556643684
66	11.337992444456036	11.191001621725087	-7.371482301312042	0.0	0.00294578619985512	1815.78546948426
67	11.277533333516551	11.130104274555437	-7.391993154669926	0.0	0.0031210600439703627	1713.8138012557172
68	11.218208566464185	11.070324783445917	-7.41304108865263	0.0	0.0033013776201171823	1620.207196326218
69	11.160055754971028	11.011700654972897	-7.434621871148291	0.0	0.00348668251362554	1534.098891138283
70	11.103109210634036	10.95426611207181	-7.456730911520867	0.0	0.0036769164490191683	1454.7286706313457
71	11.047399966155501	10.898052114822587	-7.479363295243399	0.0	0.00387201996115336	1381.427738381519
72	10.992955811855696	10.843086396557498	-7.502513816656234	0.0	0.004071932410405883	1313.606228884092
73	10.939801347245139	10.789393515012014	-7.5261770098672525	0.0	0.00427659230234366	1250.7425070593865
74	10.887958045432697	10.736994916300201	-7.550347177822184	0.0	0.004485937595034944	1192.374094509114
75	10.837444329118043	10.685909010461803	-7.575018419589336	0.0	0.004699905762486553	1138.0900061013697
76	10.788275657293827	10.636151257704343	-7.600184655907275	0.0	0.004918434030772341	1087.5241478158537
77	10.740464620647593	10.587734263334726	-7.6258396530515276	0.0	0.005141459561694424	1040.3496738076822
78	10.694021045149137	10.540667880861545	-7.651977045086129	0.0	0.005368919532242058	996.2741564261216
79	10.648952101923838	10.494959321374134	-7.678590354562193	0.0	0.0056007514337037	955.0353807376556
80	10.605262422565968	10.450613268350772	-7.705673011734389	0.0	0.00583689292513604	916.3977901444059
81	10.562954218870575	10.407631996875342	-7.733218372364201	0.0	0.00607728216187622	880.1493225802157
82	10.522027405541191	10.366015495823483	-7.76121973418085	0.0	0.006321857815504262	846.0987156000325
83	10.48247972532773	10.325761592470954	-7.789670352068873	0.0	0.006570559114796026	814.0731533575484
84	10.444306875323749	10.286866078257654	-7.818563452054182	0.0	0.0068233260067986	783.9161975515535
85	10.407502633621013	10.249322834905573	-7.847892244154073	0.0	0.007080096422085391	755.4862898786198
86	10.372058985727826	10.213123960299251	-7.877649934157358	0.0	0.007340819829724555	728.6537337757937
87	10.337966249884293	10.178259893262684	-7.907829734403508	0.0	0.00760543068544575	703.3021533074016
88	10.305213200496194	10.144719536458958	-7.9384248736155705	0.0	0.00787387444423498	679.3244946673619
89	10.273787189351994	10.112490377075408	-7.969428605853756	0.0	0.008146095283531146	656.6232767640241
90	10.243674263995278	10.081558604671269	-8.00083421864328	0.0	0.008422038222696595	635.109416089963
91	10.214859282835684	10.051909225770446	-8.032635040330195	0.0	0.008701649267377405	614.7013759744762
92	10.187326026565687	10.023526174770037	-8.064824446721722	0.0	0.008984875121929352	595.3244430575451
93	10.161057305654008	9.99639242093563	-8.097395867055555	0.0	0.009271663734460797	576.910027271956
94	10.136035063542328	9.970490071112566	-8.130342789349331	0.0	0.009561963995707414	559.3950971061422
95	10.112240475589898	9.945800468197326	-8.163658765171006	0.0	0.009855725826124791	542.7216495537746
96	10.089654043131226	9.922304284738313	-8.197337413875314	0.0	0.010152900143265978	526.8362440708048
97	10.068255683138704	9.899981612155319	-8.231372426344102	0.0	0.010453438879754837	511.68958267536453
98	10.048024813023185	9.878812045113841	-8.265757568267414	0.0	0.010757294977586805	497.23613501803516
99	10.028940430657192	9.85877476113924	-8.300486683000731	0.0	0.011064422358115084	483.43380293875697
100	10.010981189627048	9.839848595477427	-8.335553694032525	0.0	0.011374775969042355	470.2436155632266
101	9.99412546982737	9.82201211131547	-8.370952607090063	0.0	0.011688311811456733	457.62945617700285
102	9.97835144344369	9.805243665408806	-8.406677511914044	0.0	0.012004986589457815	445.5578303270523
103	9.963637136251613	9.78952146904383	-8.442722583729193	0.0	0.012324758287157041	433.99762115237564
104	9.949960484607045	9.774823644709786	-8.4790820844339	0.0	0.012647585744112367	422.9199063065597
105	9.937299388158445	9.761128278510663	-8.515750363534814	0.0	0.012973428745840503	412.2977728319612
106	9.925631758341916	9.748413468378994	-8.552721858845855	0.0	0.013302248013956481	402.1061532075027
107	9.914935562905363	9.736657368336381	-8.589991096973678	0.0	0.013634005189197548	392.321676842416
108	9.905188866631837	9.725838228971078	-8.627552693607175	0.0	0.013968662817024998	382.9225351037129
109	9.89636986847844	9.715934434347766	-8.665401353629258	0.0	0.01430618438931942	373.8883571148102
110	9.888456935041674	9.706924535262269	-8.703531871067026	0.0	0.014646534103797565	365.2001039971164
111	9.881428631022015	9.698787279509693	-8.74193912889546	0.0	0.014989677347829633	356.8399541754417
112	9.875263746332138	9.691501638813843	-8.780618098707725	0.0	0.015335579786544854	348.7912326990872
