T(K)	v(THz2π)	w(THz2π)	E(meV)	M(mₑ)	R(Å)	κ(N/m)	ReΣ(ps⁻¹)	ImΣ(ps⁻¹)	μ(cm²V⁻¹s⁻¹)
135.0	22.81510837879695	18.712970229706652	-277.3243997223925	0.8168788223754175	8.828809550893183	0.003366656988610358	0.0	20.332621012124093	157.40916466241674
136.0	22.929973389494734	18.8129123596462	-277.3698987184758	0.8163813126485121	8.795702667879564	0.003396381953212087	0.0	20.535237739047105	155.85604265151647
137.0	23.04493676340807	18.91301882349437	-277.41565123632233	0.8158819966368646	8.762969903857934	0.003426200366782581	0.0	20.736919537318947	154.3402279762981
138.0	23.159993993757777	19.013284468728322	-277.4616542089537	0.8153810445878629	8.73060470413397	0.0034561113661355164	0.0	20.945807605300374	152.8010258294387
139.0	23.275140689187268	19.113704264151416	-277.5079046422652	0.8148786203050045	8.69860066062853	0.003486114100314869	0.0	21.138207243998274	151.4102332318025
140.0	23.39037256993712	19.214273296189873	-277.5543996128264	0.8143748813642785	8.666951508215263	0.0035162077302436498	0.0	21.34353787541187	149.95362566404864
141.0	23.505685464224854	19.314986765379242	-277.60113626575594	0.8138699793232413	8.635651121141612	0.0035463914283949093	0.0	21.541218578976125	148.57752253809966
142.0	23.621075304741506	19.415839982952985	-277.64811181266805	0.8133640599242065	8.604693509534941	0.0035766643784713795	0.0	21.73747640103716	147.23608342885876
143.0	23.736538125297578	19.516828367567335	-277.69532352969	0.8128572632910304	8.57407281599268	0.003607025775099117	0.0	21.9328675814755	145.92441581232785
144.0	23.852070057608604	19.61794744215307	-277.7427687555448	0.8123497241197433	8.543783312254465	0.003637474823534483	0.0	22.12692607032751	144.64462342141246
145.0	23.967667328201383	19.719192830876363	-277.7904448897001	0.811841571863339	8.51381939595625	0.0036680107393816286	0.0	22.32024480789102	143.39183626626033
146.0	24.083326255435786	19.82056025620477	-277.8383493905787	0.8113329309108256	8.48417558746575	0.0036986327483197593	0.0	22.512386603836926	142.16799601204733
147.0	24.19904324666455	19.922045536101063	-277.88647977382954	0.81082392076032	8.454846526795952	0.003729340085844824	0.0	22.703517778270626	140.971144655793
148.0	24.314814795464148	20.02364458127904	-277.93483361065574	0.8103146561871961	8.425826970598408	0.0037601319970144396	0.0	22.869767084394677	139.94637011847246
149.0	24.4306374790201	20.125353392605223	-277.98340852619975	0.80980524740617	8.39711178923117	0.003791007736210711	0.0	23.059135224535733	138.7970909468655
150.0	24.546507955566042	20.227168058546514	-278.03220219798146	0.8092958002288303	8.368695963903976	0.003821966566904105	0.0	23.269900333527996	137.5399483041411
151.0	24.662426547308932	20.329088304146545	-278.08121235438864	0.8087863687907689	8.340574400565266	0.003853008402800712	0.0	23.43477518320616	136.57228899765715
152.0	24.778379311281206	20.431099731623526	-278.13043677321696	0.8082771928231989	8.312742843846715	0.003884130600779077	0.0	23.621104182554923	135.49497365494355
153.0	24.894373890670984	20.533209332186807	-278.17987328025896	0.8077682235465371	8.2851960411164	0.00391533437437805	0.0	23.806463870536287	134.43999521814987
154.0	25.01040365902017	20.6354099697199	-278.22951974793864	0.8072595980573712	8.25792957321851	0.003946618379896299	0.0	23.990859852257895	133.40667690219274
155.0	25.126465644955648	20.737698135738352	-278.2793740939921	0.8067514023367839	8.230938935316756	0.0039779819230528176	0.0	24.174280012226742	132.39446582471962
156.0	25.24255694479082	20.84007039591417	-278.32943428018984	0.8062437188043007	8.204219717790094	0.004009424317428645	0.0	24.356726538293305	131.40275167453683
157.0	25.358674720557246	20.942523388075887	-278.37969831110246	0.805736626442705	8.177767603862652	0.00404094488428406	0.0	24.538206121886166	130.43092363876278
158.0	25.474816198150055	21.045053820318753	-278.43016423290493	0.8052302009181	8.15157836729598	0.004072542952389317	0.0	24.71871808975135	129.478433197672
159.0	25.590978665488482	21.147658469125613	-278.4808301322216	0.8047245146967253	8.125647870143274	0.0041042178578529764	0.0	24.898259096983335	128.5447659793906
160.0	25.707159470781527	21.250334177590236	-278.5316941350059	0.8042196371572801	8.099972060563573	0.004135968943962496	0.0	25.076825172172793	127.62942944099346
161.0	25.8233560208227	21.353077853666683	-278.58275440545924	0.8037156346999157	8.074546970695506	0.004167795561024636	0.0	25.254429117433393	126.73186449922918
162.0	25.93956577937508	21.45588646850571	-278.6340091449819	0.8032125708512002	8.049368714586318	0.004199697066217026	0.0	25.4310921409598	125.85149199161226
163.0	26.055786265578053	21.55875705481103	-278.6854565911596	0.8027105063659528	8.024433486178767	0.004231672823438067	0.0	25.606833148695117	124.98776675471291
164.0	26.17201505244903	21.66168670528788	-278.7370950167808	0.8022094993251524	7.9997375573501905	0.0042637222031691804	0.0	25.781651721251226	124.14025771195348
165.0	26.288249765395935	21.764672571100395	-278.7889227288866	0.8017096052310612	7.97527727600578	0.004295844582334355	0.0	25.955554330779364	123.30851609362851
166.0	26.404488080812026	21.867711860410044	-278.8409380678497	0.8012108770986744	7.951049064223088	0.004328039344169378	0.0	26.128544808087508	122.49212164028746
167.0	26.52072772468551	21.970801836926224	-278.89313940648333	0.8007133655445616	7.927049416445852	0.004360305878090327	0.0	26.300639166038845	121.69061248704215
168.0	26.636966471310892	22.07393981855855	-278.94552514917734	0.8002171188718916	7.903274897727077	0.004392643579574906	0.0	26.471843658376105	120.90358836428285
169.0	26.753202141965147	22.177123176031294	-278.99809373106206	0.7997221831536482	7.879722142019558	0.0044250518500347	0.0	26.64216349174506	120.13066768799116
170.0	26.869432603702517	22.280349331616783	-279.0508436171981	0.7992286023119696	7.856387850512392	0.00445753009670366	0.0	26.811576531298044	119.37160372422929
171.0	26.985655768140887	22.383615757858344	-279.1037733017914	0.7987364181954553	7.833268790012123	0.004490077732522263	0.0	26.98008578337745	118.62604569210907
