T(K)	v(THz2π)	w(THz2π)	E(meV)	M(mₑ)	R(Å)	κ(N/m)	ReΣ(ps⁻¹)	ImΣ(ps⁻¹)	μ(cm²V⁻¹s⁻¹)
15.0	11.168120380957431	9.449349196121547	-275.75626772465046	0.7676343396879224	20.763356625648807	0.0007003258822080285	-3.887204395307379e-14	2.6524818474377967	1206.6212223120642
16.0	11.234205021292674	9.490681438709693	-275.71881547156613	0.7699950201099687	20.482985746066422	0.0007141126665270635	-3.544823161855232e-14	2.8518959493307174	1122.2502313476966
17.0	11.309415424485767	9.540973243010887	-275.683353917934	0.7721345335761355	20.20719536065962	0.0007287050357835785	-3.160640859099377e-14	3.043191971272799	1051.7052223877113
18.0	11.39175186859978	9.598320850050808	-275.64973744228814	0.7740847738066742	19.937137313140898	0.0007439527792780367	-2.9146320672042325e-14	3.2269812173302044	991.8064820854075
19.0	11.47962325196062	9.661205033697769	-275.61784622076465	0.7758730925956222	19.67355147831991	0.0007597356801384111	-2.698569175662197e-14	3.403819404086156	940.2792889287335
20.0	11.571763423086288	9.728412833342595	-275.5875802139547	0.7775227884420642	19.416873897920997	0.000775957419177125	-2.5101881510740042e-14	3.574050221524689	895.4941006818325
21.0	11.667163792679592	9.798974446872537	-275.5588547475187	0.7790536337854077	19.167319641060185	0.0007925406802631025	-2.3378200391901702e-14	3.7385578929193413	856.0896957026225
22.0	11.765019933554536	9.872113170144418	-275.5315972370112	0.7804823786726354	18.924945216204087	0.0008094232783435377	-2.182937266983046e-14	3.8977928020357697	821.1162192213893
23.0	11.864689642421181	9.947206040533068	-275.5057447412737	0.7818232032229817	18.689695044535455	0.0008265551212453618	-2.059421521609415e-14	4.052077740635594	789.8517979603055
24.0	11.965660133369717	10.023753017846337	-275.48124212003535	0.7830881102952492	18.46143579820173	0.0008438958336038597	-2.0135222484230597e-14	4.202190220246295	761.6363660777757
25.0	12.067522381720773	10.101352857022636	-275.4580406344871	0.784287259556253	18.239981636828386	0.0008614128978240928	-1.7767007100116466e-14	4.347633810828315	736.1569598949701
26.0	12.169951008158462	10.179684170721018	-275.4360968738892	0.7854292486294298	18.025112681059312	0.0008790801944463477	-1.6784873841657866e-14	4.489555238060932	712.8859584537131
27.0	12.27268843074464	10.258490493370397	-275.41537192281817	0.7865213485603471	17.816588487907477	0.0008968768490711918	-1.5585044530498166e-14	4.628061853952375	691.5510185289954
28.0	12.375532297421248	10.33756842330207	-275.395830706401	0.7875697008788666	17.614157841269215	0.0009147863139010026	-1.5344966943132478e-14	4.763521908948578	671.8854137951033
29.0	12.478325442136242	10.416758134325832	-275.37744146747946	0.7885794828720615	17.417565826564292	0.0009327956288980894	-1.457628977464512e-14	4.8961806580424545	653.681126667325
30.0	12.580947789120083	10.495935717339671	-275.3601753418383	0.7895550467530371	17.22655890100572	0.0009508948209276896	-1.3880538819581942e-14	5.026259905583225	636.7639057743036
31.0	12.683309769992325	10.575006943522764	-275.3440060066532	0.7905000374503527	17.040888481025767	0.0009690764096082336	-1.3343395371658571e-14	5.1541558420348075	620.9631580818509
32.0	12.785346925115253	10.65390214055698	-275.3289093839991	0.7914174928632499	16.8603134294875	0.0009873349964796274	-1.2862606971148293e-14	5.280038569929904	606.1586192084285
33.0	12.887015441149648	10.732571948816453	-275.31486338621835	0.7923099296717044	16.684601724226063	0.0010056669200428695	-1.2300365174419332e-14	5.4042171264248005	592.2302553808191
34.0	12.98828843698378	10.810983780996793	-275.30184769361415	0.7931794171666805	16.513531516118906	0.0010240699636425024	-1.2000227637649134e-14	5.526780093209887	579.096840282842
35.0	13.089152855042837	10.88911885080881	-275.28984355762714	0.7940276410638822	16.346891731602085	0.0010425431064240267	-1.1466926890283515e-14	5.6480096359705065	566.6670376290889
