T(K)	v(THz2π)	w(THz2π)	E(meV)	M(mₑ)	R(Å)	κ(N/m)	ReΣ(ps⁻¹)	ImΣ(ps⁻¹)	μ(cm²V⁻¹s⁻¹)
64.0	11.41744632780295	8.358756644736298	-18.293659817053836	0.22389058988401284	44.710132217685995	0.0002610407493072739	-5.482061571882367e-15	41.916525518411476	349.6671835709158
65.0	11.553000352406684	8.472841716425494	-18.41960991097533	0.22310671031118098	44.366131262739145	0.00026619129531574553	-5.665497855834834e-15	42.53452206721798	344.58676648438507
66.0	11.688749019303636	8.58731744266712	-18.546742910872304	0.222332155328734	44.029939070086726	0.0002713787818865633	-6.263106927755323e-15	43.11503262547164	339.94717226405044
67.0	11.824683999465721	8.70217039487575	-18.675026925014755	0.22156704594896856	43.7012697092195	0.0002766028937790954	7.349269137884737e-17	43.68769240613985	335.4911329910732
68.0	11.960797377711483	8.817387749884594	-18.804431760717055	0.22081147227056439	43.379851306243786	0.0002818633237126425	-1.440632428341176e-16	44.25312052759303	331.20451729415163
69.0	12.09708162806698	8.932957257168903	-18.934928813246252	0.22006549674268233	43.065425197286835	0.0002871597720339719	4.072202308485816e-15	44.806392600656636	327.11478368125904
70.0	12.233529590780712	9.048867208015455	-19.066490962886522	0.21932915712470263	42.757745140904575	0.00029249194640272873	3.900822055104736e-15	45.354854792144415	323.1590860619394
71.0	12.370134451075472	9.165106406731942	-19.19909247951199	0.2186024691655395	42.45657658490148	0.00029785956149869003	3.9230303416981676e-15	45.89366266351905	319.365083814766
72.0	12.506889719318739	9.281664143574774	-19.332708934073437	0.21788542903026134	42.161695983451004	0.00030326233874456365	2.6769625064166293e-15	46.42521126095238	315.708491679585
73.0	12.643789212503359	9.398530169280603	-19.467317116455888	0.21717801549690643	41.87289016062335	0.00030870000604355825	3.213502002886946e-15	46.94835262596921	312.1905797178924
74.0	12.78082703704401	9.51569467120888	-19.602894959206523	0.21648019194276047	41.5899557168104	0.00031417229753316915	2.930092552165583e-15	47.46502339804931	308.79229322583075
75.0	12.917997572707808	9.633148250904883	-19.739421466675864	0.21579190814045585	41.31269847482212	0.000319678953352034	2.481758905167224e-15	47.973534041071375	305.5191516754482
76.0	13.055295457579254	9.750881902972028	-19.87687664915215	0.21511310188162958	41.04093296264274	0.0003252197194188995	2.4214675683174768e-15	48.47536343293952	302.3563390788709
77.0	13.192715573976816	9.868886995168594	-20.015241461603324	0.21444370044375557	40.774481930179086	0.0003307943472222667	2.363374811049854e-15	48.9702543383293	299.3007412589518
78.0	13.330253035322352	9.987155249718375	-20.15449774667388	0.2137836219139341	40.51317589742372	0.0003364025936222786	1.3621644410344724e-15	49.469713178423014	296.27892464705394
79.0	13.467903173817199	10.105678725683308	-20.294628181610456	0.21313277638358638	40.256852731798254	0.00034204422066160743	2.7750690961561266e-15	49.93943363193439	293.49218357432204
