Ω(THz2π)|N|Reσ(μS)	1|-25.818452838782992meV	2|-25.849418626574153meV	3|-25.851938605446147meV	4|-25.852241573425026meV	5|-25.85228294343826meV	6|-25.852289552669724meV	7|-25.85229079473999meV	8|-25.852290889344008meV
1.86	71.24361960811353	73.69571361864489	67.97688075355863	61.926146238492414	58.7466293294386	57.16167721660856	56.196247562332225	56.115538764888576
1.87	70.33570532029562	72.7058930399582	67.08528383146856	61.14703509065799	58.03182773997237	56.484931158560904	55.543144265465386	55.464389567300515
1.88	69.4087132147404	71.69666182840406	66.17992201015453	60.35671933463116	57.30826510580765	55.79970216039221	54.881396496385456	54.804764875868784
1.89	68.46068090902462	70.66684795987643	65.25859699442546	59.554600300129366	56.574773894958675	55.10481972501236	54.21068752116627	54.13637807494277
1.9	67.49641275925005	69.62144806901838	64.32698343496747	58.74536720945083	55.83493711147406	54.40357816277123	53.53388617418705	53.462158255410074
1.91	66.51202424170324	68.55657573132379	63.3812379359656	57.926023957670566	55.0883587926379	53.69606043425314	52.85182584353699	52.78296606660287
1.92	65.50459033735207	67.4687283754212	62.418423785740714	57.093385325300616	54.329932328215435	52.977333036370865	52.159309596435634	52.09305251219961
1.93	64.47380687138492	66.35813719191174	61.43901236616908	56.24787134051663	53.5607502204227	52.24869554834922	51.458188287006976	51.3944574823727
1.94	63.41805446131366	65.22312973832597	60.441374625889864	55.38806872532725	52.77879016650896	51.5076820227203	50.745242360356116	50.684045303244204
1.95	62.33393949770914	64.0600543192844	59.42337924619602	54.51426402687884	51.98552787634986	50.755926213368795	50.02226981308946	49.96361519866848
1.96	61.21682544800338	62.86467661114271	58.38093836614664	53.62019703802643	51.17427938833099	49.987445528660004	49.284123560878214	49.22822347716808
1.97	60.06202777182936	61.631788902573454	57.3106450316059	52.7065240801941	50.34681776339357	49.203642375384185	48.53174876814051	48.478880923502444
1.98	58.86862174304824	60.362570590785765	56.214365335885695	51.7742560652758	49.5037368364374	48.40484977187432	47.76576070450195	47.716471807761096
1.99	57.6360542075926	59.0559882867266	55.09523845708578	50.82722739943822	48.64857996254049	47.59623747851989	46.99173478929946	46.94621438211384
2.0	56.3854414955659	57.73829555702336	53.979644503506286	49.89187079572002	47.80813690089082	46.802489069410505	46.234010108363904	46.192316503358455
2.01	55.17971545127815	56.48172333288876	52.940522598334226	49.03523937960668	47.044842152482396	46.085078375103684	45.55213834718589	45.51395948114389
2.02	54.188378894480934	55.47591693133665	52.15930492758694	48.42230013908108	46.51393625770974	45.59237635261921	45.08984828424538	45.054205401911744
2.03	53.75032542355732	55.09168667476126	51.975999152184286	48.356722798841695	46.49620459298345	45.593165526033715	45.10671140727383	45.07248903668404
2.04	53.67649000534834	55.096855772052976	52.1287379048613	48.57452503894692	46.73611773021839	45.83848467617086	45.35921773006518	45.32528289925621
2.05	53.32512944774781	54.799609634503575	52.013879912774364	48.56373203039293	46.767867864949366	45.88643586256696	45.422431137288115	45.389355474420185
2.06	53.21147544844221	54.78365595836356	52.21148471649469	48.86457655719648	47.1029267155997	46.231320433368424	45.77669601447661	45.743866674001275
2.07	54.09071125294919	55.884742495312246	53.520801061676444	50.20557697083533	48.42593205594277	47.53081793375199	47.06129147612665	47.026459872585775
2.08	57.06040860359347	59.28204017128638	56.990310762114675	53.489323263895116	51.56220334740852	50.56636379918494	50.03047300314601	49.98909908996732
2.09	59.72966892720043	62.27725231530859	59.90990542536061	56.16966879525887	54.090301293868386	53.002877530698235	52.40777647352416	52.36062727916255
2.1	61.61926192270057	64.39720034786215	61.969093924313505	58.05397815864836	55.86746366159301	54.71522576530416	54.07993668505129	54.02875883988593
2.11	63.11259184713809	66.07309584382519	63.59406097536736	59.53714259659916	57.26570602216499	56.06446864036214	55.39832130237657	55.3440247301262
2.12	64.33625665191758	67.44688350696515	64.92410931197959	60.74936532659887	58.408960191516236	57.16962017068503	56.47841764071718	56.42149364860431
2.13	65.34838695693254	68.58267145319685	66.02389924332104	61.75103561832338	59.354189697277945	58.08565547590178	57.37415921313545	57.315129577069015
