T(K)	v(THz2π)	w(THz2π)	E(meV)	M(mₑ)	R(Å)	κ(N/m)	ReΣ(ps⁻¹)	ImΣ(ps⁻¹)	μ(cm²V⁻¹s⁻¹)
24.0	5.9150091429060065	3.9247910508494637	-14.005586934207237	0.27255804493095664	44.069104207998585	8.451171754445914e-5	7.472550310124634e-14	10.62714365540372	1379.1884158495036
25.0	6.025460814046612	3.997838424475629	-14.027179597726377	0.27259086843327324	43.257372358377886	8.7705686582134e-5	7.029980881628903e-14	11.75716098741921	1246.6303250236138
26.0	6.138437536526283	4.074134900029301	-14.056752503551643	0.2724119267319838	42.48338960248814	9.097844205999439e-5	6.621804534706136e-14	12.897745028035642	1136.3872825243495
27.0	6.253659553277431	4.153395969376274	-14.093667458133439	0.2720464363621039	41.74504132787394	9.432605085735967e-5	6.244765254903345e-14	14.043807067158983	1043.6510095169224
28.0	6.37088770371033	4.235371547000469	-14.137343052044109	0.27151768163087375	41.040248620580705	9.774511870320081e-5	5.895998032034325e-14	15.192023716947132	964.7716259652262
29.0	6.489916318381262	4.3198406277890555	-14.187250536563573	0.27084697580324885	40.36700334032038	0.00010123269284118146	5.572963401478064e-14	16.337349431125777	897.1365572421001
30.0	6.610567501035195	4.4066069239274155	-14.242909621969766	0.2700536860252492	39.723389253262894	0.00010478618415084663	5.2733971935147023e-14	17.476825182676762	838.6439338896283
31.0	6.73268651581016	4.49549528769198	-14.303884349295371	0.26915530219396355	39.107593517827645	0.00010840330475619094	4.995271183235473e-14	18.607198034908528	787.6969652069066
32.0	6.856138052236152	4.586348763430312	-14.36977913344786	0.2681675346908471	38.51791159315681	0.00011208201790662104	4.736761664285125e-14	19.724241315519436	743.0873101095689
33.0	6.980803187485457	4.679026143779587	-14.440235036625007	0.2671044296164957	37.952747745785686	0.00011582049757011286	6.638723150735216e-14	20.82982756640863	703.6464116840702
34.0	7.106576903227868	4.773399930981739	-14.514926303396873	0.2659784931116136	37.4106126856422	0.00011961709571198637	3.2972467643179823e-15	21.92095845710261	668.6219241637402
