α|N|κ(m₀ω₀²)	N=1|κ₁	N=2|κ₁	N=2|κ₂	N=3|κ₁	N=3|κ₂	N=3|κ₃	N=4|κ₁	N=4|κ₂	N=4|κ₃	N=4|κ₄	N=5|κ₁	N=5|κ₂	N=5|κ₃	N=5|κ₄	N=5|κ₅	N=6|κ₁	N=6|κ₂	N=6|κ₃	N=6|κ₄	N=6|κ₅	N=6|κ₆
1.3999999999999995	2.0638181750299154	0.9098536405668756	5.213493270243191	0.5574539180584077	2.343351631344504	9.89016316624975	0.3874561261069678	1.5081168732338064	4.168064439426757	17.14032842227607	0.2891023458296267	1.1064669082929282	2.5994901842906017	6.8369339988494175	28.047769411525223	0.22610936568803286	0.8686823405348276	1.8811412703570198	4.1023924162849426	10.729480123220128	43.99593046703376
1.5000000000000002	2.229285392261146	0.9862049392339882	5.5963976458351965	0.6044981980074411	2.523432492639877	10.595156316788007	0.41981912609230854	1.628021085869758	4.47113960460922	18.353016584311263	0.3128559912273605	1.196696718880089	2.7925308005471408	7.324650642759934	30.029172919443226	0.244367073224925	0.9408718519368202	2.0237208717243504	4.398202974582659	11.490765278320396	47.106228001997806
1.5999999999999999	2.397683020740553	1.0644364879325163	5.980935794942354	0.6527446343055261	2.7055307394960266	11.300095685461201	0.45294708546123896	1.7498844734151042	4.775064927738299	19.56421013873114	0.3371021645402179	1.2887561858669834	2.986721652133255	7.812357408153275	32.00774856201315	0.26293605643579654	1.014697313731351	2.1674942190756	4.694247860304699	12.250769468721046	50.20919226622209
1.6999999999999995	2.5691335095017855	1.1446484519680102	6.3672461507600815	0.7022504856308469	2.889721504927053	12.005014534549673	0.4868723652487059	1.8737839371200913	5.079866741580702	20.773896496699308	0.3618571486673381	1.3827206154776714	3.182091224913023	8.300042265498632	33.98338470366434	0.2818411659140261	1.090287506493512	2.3126200000479926	4.990837467554911	13.01038026500828	53.30907995614689
1.8000000000000005	2.7437733153545096	1.2269374102306032	6.755405392162345	0.7530769671845325	3.0760846977360927	12.709951008991766	0.5216296434923309	1.9998024181928926	5.385577570912119	21.982087887488888	0.38713905447224106	1.4786737069429332	3.3786784326239854	8.787717074319062	35.9560787021328	0.3010861267032652	1.1677069491871048	2.459104798090351	5.287894156063317	13.769322255768202	56.404534942586906
1.9000000000000001	2.921738158164376	1.3114065774931891	7.145494964155574	0.8052895052253706	3.264705003068677	13.414946522193759	0.5572557000527714	2.1280279623228004	5.692231884910825	23.18879811813531	0.4129668345868729	1.5767046537443292	3.5765248573790274	9.275395937195754	37.92583673410991	0.3206801178022787	1.247042588616254	2.606995611989305	5.585435686378901	14.527599723694948	59.495537788257934
1.9999999999999998	3.103179124000375	1.3981663828935824	7.5376014561373665	0.8589581071382724	3.4556722587695177	14.12004605739071	0.5937895812045277	2.258554154267131	5.999866325789867	24.394043156189582	0.4393602825333107	1.6769084640774086	3.7756745347511895	9.763093645319259	39.892664940678515	0.34063259905113674	1.3283875824803237	2.756343189566337	5.883483754590543	15.285229104827522	62.58213263354264
2.0999999999999996	3.2882557530718195	1.487325133589748	7.931753529970052	0.9141579731417542	3.649082655270881	14.825302813499547	0.6312736868921891	2.391483565351667	6.308529652642505	25.59789353737142	0.4663428715061484	1.7793948200100136	3.976193936806183	10.25088249158216	41.856839912899886	0.360953194749595	1.4118414247056803	2.9072011586604134	6.182060356563852	16.042224048271237	65.66434567805845
2.2000000000000006	3.4771384433131107	1.5790395970543525	8.328239803639633	0.9709689415264355	3.845035274730712	15.530757132089093	0.6697493900890663	2.5269132891119703	6.618233961054841	26.800212795700645	0.4939278097982769	1.8842469588816009	4.178073749204131	10.73861017284753	43.81756488828978	0.3816517481222237	1.4975107757714339	3.059627047789803	6.481190407555573	16.798605546488034	68.74223882926162
2.3000000000000003	3.670009405058404	1.6734160320782432	8.72697449026353	1.029478009007755	4.043640422117747	16.23647983044816	0.7092663864434563	2.6649654393969087	6.929052816043736	28.001181140636618	0.5221460375699325	1.9916056463400462	4.381426167523969	11.226464856013536	45.77566153029329	0.4027381814688833	1.585509716985836	3.2136816619467012	6.780898909582106	17.554390376299125	71.81584642536473
2.4	3.867063716875599	1.7706108077709937	9.128132803730779	1.0897778736721704	4.245012345929176	16.942529773549722	0.7498737826879922	2.8057578441775135	7.241023628755727	29.20077269344256	0.5510182980500393	2.1015864841771528	4.586288113772895	11.714410093387869	47.73087699408643	0.42422256782824297	1.6759607366574079	3.369430033879212	7.081212846018957	18.309597993302305	74.88521254295483
2.4999999999999996	4.068508969066922	1.8707814913879708	9.531834130445134	1.1519685660799515	4.449273760128385	17.648975856582183	0.791624911166291	2.9494196785177813	7.554196766809639	30.39901683824064	0.5805691429224855	2.214322329852717	4.7927200704349815	12.202467562851325	49.68323125857569	0.4461151173879545	1.7689956605742703	3.5269424323312393	7.38216364480968	19.064260614934028	77.95044725842308
2.6000000000000005	4.274574189169899	1.9740978948431382	9.938206176448915	1.216157942362368	4.656555732442158	18.355893316397214	0.8345766909355734	3.0960892502541952	7.868626144708799	31.595946830555476	0.6108241742975522	2.329955830278733	5.000786843790152	12.690661065543736	51.632749876065645	0.468425989000012	1.8647559300108156	3.6862930341468783	7.683781396752806	19.81839856087572	81.01158709148876
2.7	4.485496024325344	2.0807432677822884	10.347385695575468	1.2824624589349662	4.86699842166805	19.063364386787725	0.8787899234383199	3.245914836712437	8.18436949407453	32.79159989238178	0.6418100465544467	2.4486402812761217	5.2105577535782714	13.17901586915923	53.57945971732261	0.49116540367491934	1.9633942121965715	3.8475623437836504	7.986101715499672	20.57204870037458	84.06875555508304
2.8	4.701535600147268	2.1909051256953966	10.759457501745658	1.3510083204316876	5.080752866509073	19.771484355566372	0.9243309197033138	3.3990593890089755	8.501500821391858	33.98608279291875	0.6735585212087272	2.5705514646415963	5.42213179594772	13.667630861751604	55.523736215385725	0.514343475450344	2.0650750505980016	4.010836445531275	8.289161422870961	21.325245005180477	87.12205106939655
2.900000000000001	4.922972674983837	2.304829246572187	11.174764304669395	1.4219310508161573	5.29797704855055	20.480335889730668	0.9712653495895749	3.555682777159431	8.820050380671375	35.179247405423666	0.7060863565926534	2.695835076874909	5.635515483355945	14.15632293378485	57.46459428817616	0.5379701059057578	2.1699760228825618	4.176207693895208	8.592999482854566	22.078022898776908	90.17157214309555
3.0000000000000004	5.1501091537843	2.422716309641031	11.59328978541376	1.4953793835367057	5.5188465781430835	21.190042992719327	1.0196716451274104	3.715980561756405	9.14012590558616	36.371340896206675	0.7394355234319558	2.8247154203848854	5.8508685578260895	14.645338177270332	59.40310327889165	0.5620715361947106	2.27833488436052	4.343867027016209	8.897890433454336	22.831134813372046	93.22091827820987
3.1	5.383271307756899	2.544828777328559	12.01527757637325	1.5715136872742912	5.743546126036193	21.90071904967499	1.0696284150097273	3.8801477024485145	9.46179231098455	37.56235684682542	0.7736329530630448	2.957389412791807	6.068259350716161	15.134640888339163	61.3389724969893	0.5866076243484986	2.3902238457599037	4.5136507628630795	9.203191878523285	23.58252493292275	96.25997395615559
3.1999999999999997	5.6228122556743205	2.6714404685166637	12.44092349978439	1.6505087455050682	5.972275500425297	22.61249453127016	1.12122142108533	4.048398827286658	9.785132637989818	38.752360820966715	0.8087106208412784	3.0940819498576015	6.287788210325857	15.624269935658504	63.27226170254289	0.6116367097838133	2.5060049351594733	4.685947560799903	9.50964490502406	24.33435875572286	99.29921755276155
