α|N|M(m₀)	N=1|M₁	N=2|M₁	N=2|M₂	N=3|M₁	N=3|M₂	N=3|M₃	N=4|M₁	N=4|M₂	N=4|M₃	N=4|M₄	N=5|M₁	N=5|M₂	N=5|M₃	N=5|M₄	N=5|M₅	N=6|M₁	N=6|M₂	N=6|M₃	N=6|M₄	N=6|M₅	N=6|M₆
2.0999999999999996	1.447697849920229	1.4208647919490596	1.0530982070549846	1.3533060185966932	1.1040525046586955	1.0078291025262573	1.2923333285278515	1.1424606319849575	1.0200636785284765	1.0014979599593237	1.2435592307507737	1.1682349495394817	1.033739170312545	1.004529030608441	1.0003411980591959	1.205535764814614	1.1838002444684426	1.047269978116974	1.008638362330689	1.001167368187865	1.0000882684373864
2.2000000000000006	1.4789598056787472	1.4499447084267574	1.0560459233061026	1.3770023949188166	1.1102662278352362	1.0082337064131819	1.3111967440650114	1.1514509109260591	1.0211354824452927	1.0015739967863482	1.2586445603258727	1.1792423892233252	1.03559868983869	1.0047610840214132	1.0003583792065383	1.2177865786731585	1.196081294208171	1.0499460365190831	1.0090858737764177	1.0012261307514205	1.0000926834071018
2.3000000000000003	1.5115648582438943	1.4802370994539573	1.0590375689089706	1.4016037063548261	1.116625839719633	1.0086412675995333	1.3306874624188108	1.160716670791309	1.0222194779182223	1.0016504754242617	1.2741517582016897	1.190639139425312	1.037485771089778	1.0049947022954184	1.0003756437185465	1.2303194419041157	1.2088303337164759	1.0526697777399552	1.0095370034761637	1.0012851899371222	1.000097117757545
2.4	1.5455990852018162	1.5118189723153692	1.0620730934453033	1.4271639022156515	1.1231365055806084	1.0090517764245275	1.3508381627407247	1.1702717921731505	1.023315970398831	1.0017274033235417	1.2900978567186063	1.2024481855742422	1.039401493886181	1.0052299562011069	1.0003929970100742	1.2431435539013436	1.2220759929128755	1.0554426875406517	1.0099917911480776	1.001344545257407	1.0001015713966201
2.4999999999999996	1.5811559064201326	1.54477309756458	1.0651530340407354	1.4537413261735646	1.129803562504137	1.0094652121483156	1.371684086004605	1.1801309399372024	1.0244252219645875	1.0018047812945468	1.3065017486094956	1.214693804177633	1.041346706906156	1.005466862128293	1.0004104392910338	1.2562684102885722	1.2358492762369804	1.0582663068149871	1.0104502706037979	1.0014041946930865	1.000106044040987
2.6000000000000005	1.6183365245076278	1.5791892865889177	1.0682778771154222	1.4813991237286324	1.1366325462869868	1.009881546207856	1.3932630040813831	1.1903097899871737	1.0255475017903999	1.0018826096180953	1.323383321556478	1.2274022360887589	1.0433222999186476	1.0057054356906816	1.0004279706555992	1.2697037349909903	1.250183823663215	1.0611422593539483	1.0109124790230017	1.0014641371352335	1.0001105355839657
2.7	1.6572514104460874	1.615165130147433	1.071448047963828	1.510205736593762	1.1436291919599848	1.0103007411431155	1.4156154428911965	1.200825115736714	1.0266830863778682	1.0019608880053175	1.340763500167461	1.2406018906938665	1.0453292089404045	1.0059456921361163	1.0004455911463828	1.2834595345120325	1.2651161704117682	1.064072227282007	1.0113784455469266	1.0015243694959532	1.0001150456690282
2.8	1.6980206250337004	1.652806066302302	1.0746645652081703	1.540235510605686	1.150799396481006	1.0107227439061346	1.438785293858395	1.211694657839754	1.0278321924675078	1.0020396075260634	1.3586657156617008	1.2543227890952473	1.0473680484215433	1.006187575387519	1.0004632940146625	1.2975460365138147	1.2806860690588306	1.067057971873428	1.0118481976565232	1.0015848885150318	1.0001195739788324
2.900000000000001	1.7407752132163525	1.6922301221210942	1.07792569490102	1.5715690567659748	1.1581493929075934	1.0111475116770126	1.4628182609906761	1.222938353474863	1.0289953125190452	1.0021187904052204	1.3771088768095452	1.268600716568091	1.0494409616512184	1.0064313095557875	1.0004810989661919	1.311973652705034	1.2969368488334805	1.0701013398751458	1.0123217603537493	1.0016456904256583	1.000124120172237
3.0000000000000004	1.7856583550821625	1.7335613488157158	1.081233599027218	1.6042944808649915	1.1656853867004624	1.011574955837535	1.487765809835634	1.2345762008529755	1.0301725438075275	1.0021984101703612	1.3961215641003455	1.2834697125871444	1.0515479327124035	1.006676695754523	1.0004989856891593	1.3267598829475598	1.313912781348938	1.0732019077968757	1.0127985272294948	1.0017066570776056	1.000128672714051
3.1	1.8328267377186307	1.776938625549189	1.084587653120031	1.6385076509516634	1.1734139008751288	1.0120049945736278	1.5136818495672073	1.2466306354221333	1.0313642591346737	1.002278471273361	1.4157279183928027	1.2989701911591223	1.0536904840486832	1.0069238151393627	1.0005169603142965	1.3418948393787593	1.33167458308728	1.0763686903047005	1.013280372440192	1.0017681187291427	1.000133263903645
3.1999999999999997	1.8824521072577285	1.8225131930723966	1.0879877577007884	1.6743133578955023	1.1813415816618802	1.0124375235861895	1.5406249238232461	1.2591255432986486	1.0325707711228853	1.002358969076534	1.4359547554706502	1.315145405981787	1.0558698339836095	1.0071726767536104	1.0005350221149432	1.3574099653702656	1.350269849023911	1.0795967673595506	1.0137654343000024	1.0018297304898047	1.0001378601338482
3.3000000000000007	1.9347231038419512	1.8704509350207232	1.0914336479631108	1.711826279201455	1.1894752119456213	1.0128724191725043	1.5686580456380828	1.2720867533239897	1.0337924363136388	1.002439904316657	1.4568301807521788	1.3320426421858595	1.058087270894917	1.0074232875730031	1.000553170142716	1.3733091286488905	1.3697637371357596	1.0828906826054996	1.014254333348074	1.0018915963142534	1.0001424716950147
