mp_id	formula	spgroup	groups	volume(Å^3)	band_mass(me)	eps_optic(ϵ0)	eps_total_single(ϵ0)	eps_total_multi(ϵ0)	eps_ionic_single(ϵ0)	eps_ionic_multi(ϵ0)	AHC_alpha	alpha	v_gs_single	v_gs_multi	w_gs_single	w_gs_multi	v_rt_single	v_rt_multi	w_rt_single	w_rt_multi	AHC_ZPR(meV)	energy_gs_single(meV)	energy_gs_multi(meV)	energy_rt_single(meV)	energy_rt_multi(meV)	imag_memory_single	imag_memory_multi	mobility_single(cm^2/V/s)	mobility_multi(cm^2/V/s)
mp-961659	TiSiPd	216	4-14-10	49.0636996531	1.1693567514240002	20.500635908701486	26.716242891478093	26.71574556339063	6.215606982776607	6.215109654689143	0.236093	0.23609299999999994	26.879731509840358	26.880433827610442	26.4057255607398	26.406474156789674	45.015178129582225	45.018485417910625	43.84451005743206	43.84790982993956	-8.678967	-8.704577020650266	-8.704570396112516	-13.265936393020324	-13.265569494074713	1.8556447096447732	1.8572537615941016	129.0029597356856	128.89119662171368
mp-961660	TiFeSe	216	4-8-16	42.3935179138	0.602025465409	20.964369802304223	46.3239514880403	46.317186117443086	25.359581685736075	25.352816315138863	0.344003	0.34400300000000006	34.64039538095201	34.644544658742454	33.74687755531222	33.75116442746834	47.84638941052192	47.854416310123845	45.914837694627295	45.923168201787426	-16.236134	-16.306339521902043	-16.306308881965965	-22.601575042435666	-22.600641661828565	2.608455757668127	2.6070990662967324	178.255604227593	178.34836550516957
mp-961661	ZrSiPd	216	4-14-10	54.9451328747	0.7866412771840001	18.670195613623903	23.236851779483974	23.23622313809073	4.566656165860073	4.566027524466821	0.195297	0.19529699999999986	22.702688292953514	22.703714199615714	22.371997373915676	22.37308007580344	43.778167389542354	43.78263355653843	42.885952628984015	42.890540506673354	-6.07217	-6.08695958178756	-6.086953871318181	-9.92686236984471	-9.926214810229178	1.5336890835874148	1.5330766697601539	232.02109501293546	232.1137798274688
mp-961673	TiFeTe	216	4-8-16	49.1100349671	0.656778955561	20.79769706991938	45.17867805552982	45.17871967575382	24.38098098561044	24.381022605834442	0.366068	0.36606799999999984	32.9777798565214	32.97771095743956	32.07186760185424	32.07179929358691	47.32408161143606	47.32408837627942	45.31271775953671	45.31272295598818	-16.435546	-16.51125971369692	-16.511259771178807	-23.341001647246618	-23.34102174834544	2.835554873627888	2.835629455067837	150.30874368024982	150.3047903278396
mp-961675	ScNiP	216	3-10-15	44.1949817827	1.7299220202249999	16.568277107378474	20.84944666117552	20.845019332474592	4.281169553797047	4.276742225096123	0.313689	0.31368899999999994	26.936172260598603	26.944948718015922	26.303297348885867	26.31290156759048	45.24226350627689	45.2862706283873	43.679378139952185	43.725047795003604	-11.524719999999999	-11.570088047898963	-11.569956105237079	-17.704201248545242	-17.697651416061355	2.5045324069833086	2.4980823002272103	64.60830498298408	64.77512513315804
mp-961678	ScCoTe	216	3-9-16	53.41469902469999	0.807129747216	17.739852249478826	27.75757782928838	27.736572403038693	10.017725579809554	9.996720153559862	0.368587	0.3685869999999999	24.57510521725132	24.596258129141574	23.895308437674725	23.917800576646155	44.72066418023866	44.77604922957918	42.958131436954915	43.01646747369858	-12.331024	-12.38822811437296	-12.387957485212558	-19.7573450799518	-19.742101968767965	2.988071458290111	2.9699506119829984	116.06658240485483	116.77475064599129
mp-961683	LiMgP	216	1-2-15	53.5503984343	0.49162674792100003	8.863283141577918	34.049042078414985	33.958763657755334	25.18575893683707	25.095480516177414	1.067549	1.0675489999999996	30.817796204611554	30.823328361367356	28.283027388598956	28.292805958944367	48.71312585462143	48.76943508972339	42.81048080663863	42.87463826117567	-43.639463	-44.24887809601254	-44.24680709059618	-65.36254249558083	-65.34048122951913	9.739384526118814	9.71981681182855	58.46211372875433	58.5798083273662
mp-961684	LiCaAs	216	1-2-15	71.5255262516	0.581291880625	6.716577684021958	12.009575326905274	11.998714760067287	5.292997642883318	5.28213707604533	0.9991169999999999	0.9991169999999994	25.649639230374433	25.65880701368337	23.68043684192675	23.693499310829818	46.79916141607199	46.84817451798848	41.77288743262378	41.829597769019195	-34.084002999999996	-34.52773158074578	-34.525886332020015	-54.96651142780609	-54.932385338521385	9.134317774265968	9.09651480800609	52.71948470245895	52.93857442456781
mp-961687	ZrSnPd	216	4-14-10	62.89034927929999	0.593226524944	20.26850699163907	25.292821741336056	25.29260426552282	5.024314749696988	5.024097273883742	0.16967000000000002	0.16966999999999985	19.647107442029622	19.64762221096226	19.398704837515954	19.39923153314353	42.995515472537626	42.99646645619314	42.27302091094193	42.27400117539932	-4.569322	-4.578977816054893	-4.578976642983217	-7.9276247564438025	-7.927423831729167	1.3110461610676143	1.311244589243809	359.9175179218957	359.8630522812001
mp-961693	ZrInAu	216	4-13-11	66.2028271081	0.34321084896399995	26.404700356598372	30.330422468633284	30.32955360040825	3.9257221120349146	3.9248532438098755	0.070144	0.07014399999999997	16.581192116785246	16.583418758129262	16.494827701395177	16.49707770637348	42.14375522222556	42.14778936968484	41.869577276549364	41.873671058918724	-1.599598	-1.6009882308142678	-1.6009872944556445	-2.870018127945206	-2.8695566356152837	0.5191081627102441	0.5184952290653702	1571.1681410238925	1573.0254808052507
