mp_id	formula	mode	eps_total(ϵ0)	eps_optic(ϵ0)	eps_ionic(ϵ0)	band_mass(me)	volume(Å^3)	alpha	v_gs	w_gs	v_rt	w_rt	energy_gs(meV)	energy_rt(meV)	AHC_alpha	AHC_ZPR(meV)	imag_memory	mobility(cm^2/V/s)
mp-20282	CsPbF3	multi	63.24883305917352	3.014647852189166	66.26348091136268	1.186049505481	218.446987121	7.336682999999996	54.36683703011478	14.379819515770071	94.65684720726273	25.5249731856999	-319.0565576605737	-477.8309263813335	7.336683	-275.57686	341.5059179278638	0.691099341310536
mp-20282	CsPbF3	single	-44.942536227156275	3.014647852189166	-47.957184079345446	1.186049505481	218.446987121	7.336682999999998	57.60000395351353	13.8600015095992	96.48350369990186	24.514781752238793	-323.7932487387836	-486.4213449123135	7.336683	-275.576862	381.2192198410981	0.6191044487000774
mp-20289	NaInS2	multi	21.23919385542416	6.113872219887043	15.125321635537112	0.41815492920100006	83.0495626789	1.4720669999999991	27.362509604824094	24.21482143731849	48.84678006557198	41.02497506011273	-53.54393208116503	-83.90059339281937	1.472067	-52.532911	14.771975984984254	45.31747629089661
mp-20289	NaInS2	single	21.28776433247301	6.113872219887043	15.173892112585962	0.41815492920100006	83.0495626789	1.4720669999999996	27.351855116574402	24.199119872564914	48.81022927217572	40.97844765146769	-53.54750283262237	-83.94372512954747	1.472067	-52.532912	14.82156868626	45.16584483326632
mp-2030	RuS2	multi	22.33028776759732	16.555561495165207	5.7747262724321144	0.335312799844	173.902142558	0.1479139999999999	37.224305627723744	36.815423386977976	48.30006496135859	47.452933423582024	-7.553581048758775	-10.251322202775299	0.147914	-7.543467	1.039621034968043	803.00146872174
mp-2030	RuS2	single	22.33952616291346	16.555561495165207	5.783964667748259	0.335312799844	173.902142558	0.147916	37.1780124713664	36.76854480782237	48.21042775723166	47.36200813491749	-7.55370378646766	-10.254508233474194	0.147916	-7.54347	1.043900072519156	799.7098955829747
mp-20329	InAgO2	multi	10.74130500350177	5.725243366672901	5.016061636828868	0.299896426384	117.33412039	0.6728969999999997	44.82176149572428	42.5453423697599	53.215234739898015	48.88575737542278	-40.88338493620837	-52.43652326410631	0.6728970000000001	-40.558968	4.740236031010664	196.91113343183858
mp-20329	InAgO2	single	10.766538898736558	5.725243366672901	5.041295532063657	0.299896426384	117.33412039	0.6728979999999996	44.76334696892551	42.477362270992394	52.93480358634646	48.58901655834127	-40.886846856568674	-52.43189978399468	0.672898	-40.558969	4.765431587616071	195.8700345266503
mp-20351	InP	single	20.679329294751273	16.73380618755467	3.9455231071965975	0.043862600356	50.86538179299999	0.044066	29.02497632333747	28.930089232096865	45.13526852005185	44.910947992440775	-1.7607964813008945	-2.6299089887585967	0.044066	-1.76059	0.330610790246221	19303.23648213222
mp-20459	TiPbO3	multi	77.43351300059793	7.100573942281998	70.33293905831593	1.287875443716	62.835551486	2.1411999999999995	53.08966662883269	44.4654215484269	64.02799902347078	48.11985410225516	-144.22837961959814	-180.70631096627585	2.1412	-140.46160700000001	18.455270605599363	11.777340999729011
