mp_id	formula	spgroup	groups	volume(Å^3)	band_mass(me)	eps_optic(ϵ0)	eps_total_single(ϵ0)	eps_total_multi(ϵ0)	eps_ionic_single(ϵ0)	eps_ionic_multi(ϵ0)	AHC_alpha	alpha	v_gs_single	v_gs_multi	w_gs_single	w_gs_multi	v_rt_single	v_rt_multi	w_rt_single	w_rt_multi	AHC_ZPR(meV)	energy_gs_single(meV)	energy_gs_multi(meV)	energy_rt_single(meV)	energy_rt_multi(meV)	imag_memory_single	imag_memory_multi	mobility_single(cm^2/V/s)	mobility_multi(cm^2/V/s)
mp-4979	AlCuS2	122	13-11-16	144.22448951	0.6953425123839999	6.9792030801148	9.592294828083999	9.516226049017025	2.613091747969199	2.5370229689022246	0.535281	0.5352809999999999	37.17201182180301	38.59373055896467	35.66961839267811	37.117940185775204	49.3622811774584	50.60270713111275	46.22131322342325	47.546027312747896	-26.92709	-27.11013081374845	-27.09743042253139	-36.82390983785411	-36.47249137698429	4.106588805216491	3.780849981696874	98.03057012701628	106.47638594534189
mp-5012	Li2SiO3	36	1-14-16	117.2739187	3.687801733225	2.701417933832695	9.81775868794893	9.390435978048686	7.1163407541162345	6.689018044215989	6.407744	6.407743999999998	107.57090433557147	102.4059410605913	37.434600337082585	37.59088613551461	143.5211339184754	140.1339561128313	33.87331009419934	36.63137717823075	-563.75216	-639.0484263576003	-632.7751910880114	-761.0857059349769	-757.0840589446386	118.45251534831009	180.18429019202566	0.6408105869939766	0.421266614366711
mp-5020	BaTiO3	160	2-4-16	63.6696386725	1.441145027529	5.924520673451606	-60.511459361541	63.61190126999391	-66.43598003499261	69.53642194344552	2.901042	2.9010419999999986	65.80632996139556	65.97472506286967	49.87000184617715	50.17164686565742	74.01620169397324	74.42459405576585	46.822891023215455	47.46177211530246	-232.11293500000002	-242.01756242754254	-241.85141497587117	-288.4101224012361	-288.3808075514416	26.357896760338633	26.380490225086174	7.369246597018793	7.362935235410836
mp-5038	CsGaS2	15	1-13-16	241.64928537999998	2.167967649604	3.9361360285715827	15.374586679761501	12.961539317268711	11.438450651189918	9.025403288697127	7.771247	7.771246999999995	30.086307811955365	23.218565778290127	6.0805300876644495	5.316141935465129	69.93528886416775	67.6305909627452	27.398005118108607	29.816486480321657	-135.603258	-162.54969170042642	-155.01224554488215	-325.2256577411898	-305.2896038695023	260.56500673082377	187.32505947994213	0.49553306869660474	0.689275517855111
mp-504535	InHO2	31	13-1-16	79.5546513794	2.2550007755559998	4.314749026155969	87.45796379170204	45.59112898768485	83.14321476554608	41.27637996152886	4.262098	4.262097999999998	74.25890377015553	68.15802309073047	45.83539513349192	43.794284210937924	90.35718574467376	90.36279257883777	41.39978472739457	46.95708386141947	-349.4521	-373.88066790596866	-369.5663918684232	-446.6126272034907	-448.25458149110756	55.40055007070153	71.69041133497474	2.240684744555343	1.7315449175395514
mp-5046	BeSO4	82	2-16-16	71.2619275132	5.732653335616001	2.403913596004553	6.018047976803032	5.721375433625756	3.6141343807984785	3.3174618376212015	6.764877	6.7648769999999985	141.01617033794145	129.0365325544946	42.77822747302123	45.77056205043577	179.6221944051962	169.82888781789188	37.41469577728856	43.10351633122429	-719.5750619999999	-826.324410588577	-808.3471664366932	-951.8124832856695	-936.7787137011362	81.90010617036648	202.32190390852801	0.5962129227876722	0.24134757894790976
mp-504729	Cs2PdF6	225	1-10-17	180.104248667	7.338355923600002	2.369746130747148	9.637761116259357	8.381838305201283	7.26801498551221	6.012092174454133	23.785383000000003	23.78538299999999	338.2440102987424	301.5462587957513	4.441794311127165	3.7837160992298493	362.65297467509566	328.80736551839846	9.135267604219159	11.543648961003113	-425.094021	-1123.536368128567	-1029.5168652615398	-1457.1764972661376	-1354.4495725424927	7297.406397949726	14733.316393676037	0.005227261474757252	0.002589060759329299
mp-5048	LiGaTe2	122	1-13-16	234.727757684	0.350100606249	7.620719650263939	11.653855448229335	11.343113606016377	4.0331357979653975	3.7223939557524397	0.6432869999999999	0.6432869999999996	17.610395732684854	18.973908557771537	16.751585716119678	18.161956685528324	43.682963448153934	44.64673088987728	41.03939622255598	42.16009110251722	-15.270802999999997	-15.396289813513912	-15.375344016394541	-28.743987628489513	-27.536040846032886	5.268774825532484	4.611703426452161	151.75360914098297	173.37532828749465
mp-504838	CsPS3	71	1-15-16	298.204502958	1.62460516	3.8356193067048463	7.415388511990641	6.868705390064596	3.579769205285795	3.0330860833597506	4.458853	4.4588529999999995	16.23706756733616	13.354876228217112	9.659211423949289	8.456587532265202	53.584375122142475	54.521787102255885	34.147055292559806	37.51196024930865	-78.52659899999999	-84.37331391112231	-82.64788965309616	-178.68158734538707	-166.9192986617522	66.694861024837	48.90698747999928	2.58345754816491	3.5230823041163393
mp-505297	NbSbRu	216	5-15-8	57.500661256099995	0.7612213504	22.60047163887548	43.636388506309956	43.61186902649366	21.035916867434477	21.011397387618178	0.361445	0.3614449999999999	26.488964551066985	26.50469504591771	25.770610089183997	25.786897259449326	45.24209496377475	45.2672501855533	43.451352372162916	43.47785009788523	-13.037062	-13.096346010491134	-13.096221742704989	-20.225718079253408	-20.218680730987675	2.9166350087759048	2.9106021251932703	126.08066322510447	126.34199401871402
