mp_id	formula	spgroup	groups	mode	eps_total(ϵ0)	eps_optic(ϵ0)	eps_ionic(ϵ0)	band_mass(me)	volume(Å^3)	alpha	v_gs	w_gs	v_rt	w_rt	energy_gs(meV)	energy_rt(meV)	AHC_alpha	AHC_ZPR(meV)	imag_memory	mobility(cm^2/V/s)
mp-22957	SrClF	129	2-17-17	multi	13.299335695222247	2.99177333149425	10.307562363727996	3.3300556243359996	115.193335124	9.366835999999996	89.11145952911717	10.449093686816438	126.39449710933052	20.340843597821337	-425.92727472056225	-626.1155375397334	9.366836	-330.481629	774.9776230985465	0.10846781184634632
mp-22957	SrClF	129	2-17-17	single	13.724408291315303	2.99177333149425	10.732634959821054	3.3300556243359996	115.193335124	9.366836	91.92085078377288	10.675717920703613	128.11373839881742	19.760354514195445	-430.3079701793536	-631.8552984257925	9.366836	-330.481632	775.7093019956768	0.1083655008275901
mp-22975	Rb2TeCl6	225	1-16-17	multi	17.032816594194497	3.4212608580397643	13.61155573615473	2.3233380625000004	266.880847241	11.240057999999994	49.00761840744144	3.436166524159073	87.64397565843234	23.735739885322765	-234.90975544592843	-435.3875031647295	11.240058	-176.481063	562.5829960949221	0.21416205266872052
mp-22975	Rb2TeCl6	225	1-16-17	single	23.932219843811453	3.4212608580397643	20.51095898577169	2.3233380625000004	266.880847241	11.240058000000001	61.36338915599137	4.37844826079754	94.60102021426259	21.10748672384287	-255.52711976396333	-469.79447693249045	11.240058	-176.481064	862.3316629063308	0.1397187815580589
mp-22984	NaBiO2	15	1-15-16	multi	45.015813969782705	5.781018867193995	39.23479510258869	0.6402096171610001	121.165345992	2.0523079999999987	39.402630579491436	33.26598957595706	56.78295979773448	43.73654482432528	-103.71777821977587	-142.1918180494069	2.052308	-101.078137	20.303828787649756	21.534827306967472
mp-22984	NaBiO2	15	1-15-16	single	53.597145055981414	5.781018867193995	47.81612618878742	0.6402096171610001	121.165345992	2.0523069999999994	38.744292476430175	32.36298730357066	55.41846638460477	41.88967801081625	-103.95857043756031	-143.40876556150855	2.052307	-101.078137	22.297018621848252	19.609771782844234
mp-22988	CsGeCl3	160	1-14-17	multi	45.142757813408075	5.134165423470546	40.00859238993752	0.15457478560000001	148.687387133	1.630169999999999	20.75038794408933	18.333923627159905	47.2142917694076	40.19193097988993	-42.16792614566401	-74.41803187898954	1.63017	-41.366260999999994	14.616804257837892	123.89404883767416
mp-22988	CsGeCl3	160	1-14-17	single	63.65799845388942	5.134165423470546	58.52383303041888	0.15457478560000001	148.687387133	1.6301700000000001	19.58170578373282	17.065801025251005	46.7694595286261	39.428162320075444	-42.27819802515567	-76.75882181171087	1.63017	-41.366262	16.205089989477354	111.75100303344243
mp-22990	CsICl2	166	1-17-17	multi	11.709602150495778	3.4512621691032956	8.25833998139248	1.493909729536	137.47604153	8.212827999999996	22.292913240081205	4.098705149983674	65.24570814964517	29.420881950175964	-134.24206470455985	-288.92692271930673	8.212828	-114.14458	188.0335017222087	0.9965106398708717
mp-22990	CsICl2	166	1-17-17	single	13.335112388314498	3.4512621691032956	9.883850219211205	1.493909729536	137.47604153	8.212828999999997	26.997949463100845	4.610505128835551	66.93431167143403	28.00969326400372	-139.79799840881006	-303.72077133041154	8.212829	-114.14458	235.97272822104864	0.7940637315632174
mp-23004	CsMgCl3	194	1-2-17	multi	13.436305180546618	2.829475906465412	10.6068292740812	1.8898963202249999	276.424499245	11.419232999999993	56.812615854855764	3.8239643251812545	95.46249082558174	22.740381609531664	-271.51377271212306	-477.67029493627615	11.419233	-203.72593199999997	688.6841410230242	0.21507179914919092
mp-23004	CsMgCl3	194	1-2-17	single	18.999455479086887	2.829475906465412	16.16997957262147	1.8898963202249999	276.424499245	11.419233999999998	72.1872489499499	4.9488087920768855	104.67602062029266	19.689613842969244	-298.00938336419443	-518.8267426439581	11.419234	-203.725931	1095.1188106769353	0.13525156888117043
mp-23009	Ca2BrN	166	2-17-15	multi	18.176291278305307	5.100354647864505	13.075936630440799	3.5256033202809998	79.0971406089	4.6108509999999985	44.18355335306322	26.78950536606018	72.27444809255935	35.42035979888689	-233.20598990068757	-325.6885271973538	4.610851	-217.99578	90.82492981870206	0.8741843197842079
mp-23009	Ca2BrN	166	2-17-15	single	19.489962129266065	5.100354647864505	14.38960748140156	3.5256033202809998	79.0971406089	4.610851999999998	44.2333192501447	25.532745887685167	72.27269427028313	33.412698646718866	-235.02187180821244	-330.9510802183851	4.610852	-217.995781	104.08789188008508	0.7627950577045116
mp-23017	CsCu2Br3	63	1-11-17	multi	12.40252687266424	4.030366121350974	8.372160751313265	1.6958889211689998	334.15660779199993	12.853920999999993	16.685910366784185	3.5958482652534185	60.121584254114	30.581130393240073	-99.00632940098328	-247.51982171340705	12.853920999999998	-84.68539499999999	144.30068988232657	1.1438674959812045
mp-23017	CsCu2Br3	63	1-11-17	single	32.34696704900039	4.030366121350974	28.316600927649418	1.6958889211689998	334.15660779199993	12.853921999999997	34.47413455351479	1.7678204269147038	70.34481116712001	26.302303359884778	-134.3396226132018	-329.13867756438736	12.853922	-84.685396	345.30137131010616	0.4780197315110583
mp-23018	BiSbO4	15	15-15-16	multi	466.07144958600094	5.7036225513184	460.3678270346824	6.316827688899999	157.143434665	7.265247999999997	69.42426450345516	20.578772859374844	113.46637888405333	29.506278796100464	-439.74367010951	-591.4646902052034	7.265248000000001	-387.14857400000005	321.7808647890878	0.1377153292972764
mp-23018	BiSbO4	15	15-15-16	single	-179.23296066800125	5.7036225513184	-184.9365832193197	6.316827688899999	157.143434665	7.265247	80.18320848559527	19.86428500759073	119.64238452723644	25.118044928528267	-453.6503847375099	-610.1766523773439	7.265247	-387.148574	317.9640782508733	0.13936844061053896
mp-23023	LaBrO	129	3-17-16	multi	30.95079826601504	4.889031686124568	26.061766579890467	1.043903584656	124.124389107	3.341466999999999	35.270715622448236	26.19483260787499	60.22776009853613	39.260833863398084	-142.4002943704208	-207.88706511346754	3.341467	-136.480912	43.85541179035553	6.1144577378913665
mp-23023	LaBrO	129	3-17-16	single	39.44874183505584	4.889031686124568	34.559710148931266	1.043903584656	124.124389107	3.341467999999998	34.51523394779098	24.67122189369615	59.22062466125816	36.8238600675246	-143.4119659758403	-212.89156966998993	3.341468	-136.480913	52.72913365785978	5.085463070755024
mp-23024	SrBrF	129	2-17-17	multi	12.464009990139688	3.329066973082791	9.134943017056894	1.854382127049	127.058754425	6.515983999999996	35.48403244294113	12.669061247841501	75.3780170722571	28.577889347575226	-219.4043558722017	-360.5917957878609	6.5159839999999996	-195.046401	218.5141611401098	0.6908165120344384
mp-23024	SrBrF	129	2-17-17	single	13.167402948079765	3.329066973082791	9.838335974996975	1.854382127049	127.058754425	6.515983000000001	37.4699788890584	12.520829382773032	76.20666153222123	27.557719774392762	-221.93969135219547	-366.7290686792743	6.515983	-195.046402	244.02006445293202	0.618609748208056
