mp_id	formula	spgroup	groups	eps_total(ϵ0)	eps_optic(ϵ0)	eps_ionic(ϵ0)	omega_LO(THz2π)	band_mass(me)	volume(Å^3)	alpha	v_gs	w_gs	v_rt	w_rt	energy_gs(meV)	energy_rt(meV)	ZPR(meV)	imag_memory	mobility(cm^2/V/s)
mp-9385	RbAu3Se2	164	1-11-16	11.2759	7.381600000000001	3.8943000000000003	2.677850545931784	0.6561000000000001	167.93487599299996	1.3283332700232775	3.1507877159558766	2.824976851912706	16.105529720848264	14.680825727535534	-14.970412674497593	-40.21556480629423	-14.7118	9.070873551585759	47.03513329138112
mp-9386	CsAu3Se2	164	1-11-16	9.6076	6.6613	2.946299999999999	2.608768593285418	0.61984129	177.464877445	1.2871022498172868	3.145453177935083	2.830811214397445	16.484497865048272	15.088808655326742	-14.123344982959262	-38.427012911171275	-13.8871	8.634787813652474	52.30092343725223
mp-9437	NbFeSb	216	5-8-15	42.773799999999994	24.1009	18.672899999999995	10.611974466092605	1.09516225	51.1351353739	0.3337561893651776	3.03425909756895	2.9583524635463387	4.425543962338195	4.254956050013102	-14.709174541253125	-20.95965661731393	-14.6484	2.5868494268977478	98.80795569882504
mp-9486	K2AlF5	123	1-13-17	5.934300000000001	1.8683999999999998	4.0659	12.635251144299582	4.958638239999999	129.058654684	13.176319819702323	22.824637793297143	1.103360517298475	25.579786164131217	1.3146337756094462	-1111.9687494458778	-1367.0151697554547	-688.556	442.9477941319024	0.12744610327010283
mp-9514	Mg(AlC)2	164	13	19.3768	8.1038	11.273000000000001	19.786720306582357	0.85599504	57.044504354999994	0.8564558306118322	3.0925137595665873	2.8901057888966446	3.120484725754323	2.7915237379929656	-70.86075674268012	-83.04076890804994	-70.0836	4.532892943589032	72.1431032094364
mp-9517	SrTiN2	129	2-4-15	26.211400000000005	8.4135	17.797900000000002	18.751071334304964	0.8835999999999999	113.574627759	1.0048567942458568	3.110208798308231	2.8700031911793045	3.237732599132441	2.8355376818570437	-78.94547489149372	-93.86828691242219	-77.9289	5.918786887318457	53.52456169052593
mp-9562	LiBeAs	129	1-2-15	14.351700000000001	8.6832	5.668500000000002	11.542320006877198	0.4373176899999999	84.7565970091	0.507837168948661	3.052998724406376	2.9360493368981517	4.206473319035998	3.9550925366274443	-24.397814618928326	-33.779958358283004	-24.2412	3.9612584612426764	161.58881812566815
mp-9564	Ca(MgAs)2	164	2	15.870000000000001	9.264900000000003	6.605099999999999	7.999941587330372	0.32182929000000005	114.459066428	0.5167953857101487	3.0539804967012976	2.9348906927868548	5.634990235325752	5.324831895440973	-17.210328459485037	-27.66096935196319	-17.097	4.3062718732095835	201.9828600309366
mp-9565	Ca(MgSb)2	164	2	17.1105	10.883600000000001	6.226899999999998	6.81648093268433	0.27029601000000003	138.836396543	0.38191247228130043	3.0393808149049493	2.952223855358031	6.420190568551868	6.173305966752437	-10.818168042087903	-18.60365660628011	-10.7662	3.0777705157057644	336.48496218828467
mp-9566	Sr(MgSb)2	164	2	16.0685	10.394299999999998	5.674200000000001	6.277801289332652	0.27384289	148.028153222	0.40697574312176305	3.0420650761448633	2.9490218389181995	6.9207216200142385	6.645899839082833	-10.620504060017609	-18.964550194003703	-10.5672	3.2574589440357733	313.8059035240342
mp-9567	Ba(MgSb)2	164	2	17.2415	11.0257	6.215799999999998	5.833399046529864	0.76580001	158.427509038	0.679516759103061	3.0721136101921984	2.91364381241801	7.515676996786184	7.032147806474532	-16.535922545938625	-30.65327138178081	-16.393	5.619799460111419	65.04371583960534
mp-9569	Ca(ZnP)2	164	12	19.6124	11.857400000000002	7.755	9.636170727556815	0.4971660099999999	92.3401157569	0.43445777975540995	3.045023126210829	2.9455009308065385	4.806302761718927	4.5709543232248695	-17.409019818219125	-25.842891991158613	-17.3131	3.5109672123919484	160.36638028725804
mp-9570	Ca(CdP)2	164	12	22.624499999999998	12.6238	10.000699999999998	8.495726101527463	0.46771920999999994	108.218452353	0.471238943981995	3.0490068565207618	2.940772739358462	5.340720978458253	5.06738418285238	-16.65595816402969	-26.07177328900567	-16.5568	3.8879481995915106	153.9344598972741
mp-9571	Ca(ZnAs)2	164	12	23.262	14.628799999999998	8.633200000000004	6.933028014152823	0.42497361000000006	101.434420025	0.36026582715309163	3.0370727642482382	2.954982556501828	6.316180737176396	6.085605765781017	-10.376611723683812	-17.698972845256257	-10.3298	2.8936463600676143	227.63241916781504
mp-9573	NaBeAs	194	1-2-15	12.430300000000003	8.2566	4.1737	10.062945828784803	0.55890576	111.07353354799999	0.549708707904876	3.0576012009834583	2.9306229783427002	4.681711440666502	4.38828475059234	-23.037054768002072	-33.6632057244328	-22.8765	4.5042203754524275	111.1945018364718
mp-9575	LiBeSb	186	1-2-15	18.3694	13.555600000000002	4.813799999999998	9.62574919392343	0.31069476	99.0524108321	0.19921018433965829	3.0201934602141147	2.975313356055235	4.73431098684129	4.628045259930252	-7.950044666874445	-11.695106062362003	-7.93	1.5392926143381336	585.310635209023
mp-9610	Li2CN2	139	1-14-15	4.8456	2.5879999999999996	2.2576	29.756089951698474	1.57803844	58.1926521966	2.3778997372334323	3.3060582249048207	2.6658727853300155	3.1135886752505435	2.2204873912838443	-302.49786527119835	-330.94759047425765	-292.62	7.56582895514019	23.445928318771877
mp-961646	TiTeOs	216	4-16-8	32.1572	21.3388	10.818400000000004	7.7208330891165105	14.951368889999996	56.9818409393	1.258376876737534	3.141765596230936	2.8348591602337807	6.104685626860796	5.297579809753528	-40.84974425075043	-66.96067446116794	-40.1806	12.081227297602734	1.5497067249573668
mp-961648	KBaP	216	1-2-15	39.3846	9.215499999999999	30.1691	5.719390853765561	3.179089	93.3765134419	3.554520182660433	3.5452319268055015	2.457483334024674	9.263565234446286	6.207467577963687	-88.69498547318815	-165.48069270365528	-84.0748	51.60527945657744	1.7062580336071695
mp-961649	ZrFeTe	216	4-8-16	34.5715	19.8441	14.727399999999998	9.550839887203638	1.0340856099999998	54.45101819	0.40515521650405634	3.041869591072672	2.9492546374301374	4.8309390824480785	4.610875423234955	-16.085031046830576	-23.949883105995745	-16.004	3.26023647088375	83.03017125903452
